时间,企业数量:综合医院:中国:年,企业数量:整形外科医院:中国:年,企业数量:中医院:中国:年,企业数量:医疗和兽医仪器制造:中国:年,企业数量:医疗器械制造:中国:年,企业数量:医疗用品制造业:中国:年,企业数量:医药制造:中国:年,企业数量:医药原料制造:中国:年,企业数量:医学研究:中国:年
2023-12-31,12691.0,513.0,4993.0,526,456.0,1072,1636.0,1460.0,6893
2022-12-31,12641.0,494.0,4810.0,519,436.0,1052,1625.0,1444.0,6787
2021-12-31,12591.0,477.0,4621.0,512,415.0,1021,1614.0,1427.0,6646
2020-12-31,12545.0,462.0,4426.0,504,393.0,1000,1601.0,1407.0,6492
2019-12-31,12500.0,450.0,4221.0,494,370.0,965,1585.0,1379.0,6314
2018-12-31,12470.0,398.0,3977.0,486,352.0,948,1565.0,1362.0,6203
2017-12-31,12430.0,345.0,3695.0,478,334.0,920,1540.0,1349.0,6087
2016-12-31,12390.0,275.0,3462.0,469,316.0,891,1513.0,1334.0,5968
2015-12-31,12350.0,228.0,3267.0,460,297.0,862,1483.0,1317.0,5845
2014-12-31,12300.0,192.0,3115.0,449,278.0,831,1451.0,1298.0,5719
