时间,市场规模:综合医院:中国:年,市场规模:整形外科医院:中国:年,市场规模:中医院:中国:年,市场规模:医疗和兽医仪器制造:中国:年,市场规模:医疗器械制造:中国:年,市场规模:医疗用品制造业:中国:年,市场规模:医药制造:中国:年,市场规模:医药原料制造:中国:年,市场规模:医学研究:中国:年
2023-12-31,35.8455447,248.2415523,7577.568249,2133.1959168000003,2668.0389246,3869.0948598,13578.5558088,9901.2462996,1259.6086160999998
2022-12-31,33.346504800000005,220.1092184,6718.861053600001,1985.9417608,2363.9872134,3566.0632441999996,12934.2442086,9042.049640199999,1163.7359078
2021-12-31,30.2271937,182.6829321,5526.271864700001,1745.5646488000002,1914.0042671,3194.6209934000003,12573.0334168,7788.2937163,998.7916592
2020-12-31,27.352380799999995,171.2068511,5116.793955499999,1705.9220552,1718.2475912999998,3573.100489,12429.7648526,7190.2832024,947.8265486999999
2019-12-31,28.902396600000003,178.2907434,5841.269926800001,1673.6392134,1603.2772602,3267.2544366000006,13000.2742716,7445.558736000001,938.7663054000001
2018-12-31,26.793932799999997,158.608552,4933.9407536,1561.0966088,1402.7145424,3037.8993952,12143.8970704,7385.6542368,871.9421072
2017-12-31,23.483914799999997,114.0283242,4174.3867384000005,1472.7956116,1206.9516846,2774.1142126000004,9802.7113872,6447.8048076000005,780.771558
2016-12-31,23.93265,89.917394,4017.84103,1555.1158490000003,1168.1630519999999,2803.734227,9777.278343,6330.158177,779.9546580000001
2015-12-31,21.42888,67.52045279999999,3304.2293984000003,1377.2730792,989.2090496,2450.587236,8849.6339264,5820.005884800001,664.9836015999999
2014-12-31,18.54057,51.369004999999994,2640.128216,1185.8744379999998,823.0299759999999,2014.4053949999998,7780.204477,5138.485320999999,560.849183
