,市场规模,year,研发支出：占国内生产总值百分比,专利申请：居民,化学药品制剂制造:亏损企业数,化学药品制剂制造:企业数,化学药品制剂制造:资产合计,化学药品制剂制造:应收账款,化学药品制剂制造:营业收入:累计,化学药品制剂制造:利润总额:累计,化学药品制剂制造:工业销售产值:出口交货值:累计,床位数:医院:综合,床位数:医院:中医,床位数:医院:专科,床位数:卫生院,卫生总费用:政府预算支出,床位数:医院:综合.1,根据PCT提交的专利申请数量：Priority Year,卫生总费用,研发人员：每百万人,在校生数:高等:普通本专科,床位数:医院,执业医师,执业(助理)医师,在校生数:高等:研究生,学成回国留学生数,全国社保基金:基本医疗保险:城镇:支出,专利申请：居民.1,研究与试验发展经费支出:工业企业,研究与试验发展经费支出:企业:工业企业,研究与试验发展人员:企业:大中型工业企业,研究与试验发展经费支出:企业:工业企业:大中型,卫生总费用:居民个人现金支出,科学和技术期刊文章,卫生总费用:社会支出,医药制造业:资产合计,医药制造业:流动资产,医药制造业:应收账款,医药制造业:负债合计,医药制造业:营业收入:累计,医药制造业:营业成本:累计,医药制造业:营业费用:累计,医药制造业:管理费用:累计,医药制造业:财务费用:累计,医药制造业:利润总额:累计,医药制造业:亏损额:累计,医药制造业:资产负债率,医药制造业:累计同比:资产合计,医药制造业:累计同比:流动资产,医药制造业:累计同比:应收账款,医药制造业:累计同比:负债合计,医药制造业:企业数
9,10.62792494266661,2023,0.8889606524238549,14.17083539091319,6.46302945692067,7.774435510302958,14.718144458390816,12.68683073767377,13.964792260680028,12.051871964452873,10.426439356099959,15.382346142023872,13.891320937343007,14.211191961336368,14.227620208791107,14.692681595582567,15.382346142023872,11.137964838021905,15.959422141874555,7.430740729104991,10.50764435371781,15.89495209964411,8.221965656761897,8.472195825485501,8.264363329731667,13.563195629349785,14.8501292436666,14.17083539091319,14.476225541645446,14.476225541645446,7.871210091763884,14.120683469941811,14.645848552292271,13.414651276732341,15.159567078977418,10.980314589807135,10.439275996285623,8.892691067219987,10.053711102702628,9.703928683210613,9.148250051548132,7.960540010623242,6.970504700635247,3.8344938029189084,7.724702909746035,5.878015854600402,6.163496416278981,4.2710950739666,3.966511190712216,4.22829253473184,4.209160236650682,9.149740749847252
8,10.54608691739654,2022,0.8889606524238549,14.17083539091319,6.46302945692067,7.774435510302958,14.718144458390816,12.68683073767377,13.964792260680028,12.051871964452873,10.426439356099959,15.382346142023872,13.891320937343007,14.211191961336368,14.191118339276873,14.692681595582567,15.382346142023872,11.137964838021905,15.959422141874555,7.430740729104991,10.50764435371781,15.851904844608821,8.221965656761897,8.397221562535954,8.203471819998901,13.563195629349785,14.715559532038053,14.17083539091319,14.476225541645446,14.476225541645446,7.871210091763884,14.120683469941811,14.645848552292271,13.414651276732341,15.159567078977418,10.914975366910259,10.386745146158185,8.848787837624425,9.972588618169882,9.819227296830473,9.279522158950813,8.003135684069507,6.995189066743773,3.4216533902295376,7.938891402525333,5.634682454571901,6.147535145689735,4.922168312773925,4.966335035199676,5.088830141681313,4.407938016458383,9.130322663990151
7,10.432746946319927,2021,0.8889606524238549,14.17083539091319,7.952615111651,9.348535870727583,16.257572335259958,14.220308777084735,15.45831167719245,13.5973669858947,11.912238353593194,15.363006894278175,13.838009546808197,14.150850725465551,14.164341820504847,14.541901974215074,15.363006894278175,11.137964838021905,15.854715740897412,7.430740729104991,10.461997214654172,15.818911414850122,8.186143108316243,8.363483347739777,8.111439941799295,13.563195629349785,14.692985371384717,14.17083539091319,14.37594007930028,14.37594007930028,7.763226645078483,14.021046609454126,14.567194063719251,13.414651276732341,15.067223260838023,10.796121311859588,10.264005432926629,8.71687108512287,9.889690357479626,9.82335099879252,9.191980557325072,8.02416491774749,7.054539464117533,4.883400228414223,8.257615919674091,5.291091321456297,6.183404070926881,5.154446996128335,5.334649295795427,5.184588601219693,4.835487941050301,9.062883902508307
6,10.400634992808492,2020,0.8782399273907747,14.111768502281592,8.200837258379849,9.506065016071148,16.378924051436456,14.398651625435813,15.466493203999807,13.448435713473916,11.821048247864537,15.346438021549812,13.796472478327034,14.045245935375867,14.145048090726528,14.601323515885449,15.346438021549812,11.137964838021905,15.792019190519227,7.37895951167753,10.399796761134349,15.779988117968552,8.132022354433499,8.315245658922292,8.051850045228631,13.563195629349785,14.558975113532329,14.111768502281592,14.238900092090256,14.238900092090256,7.67134135170369,13.889900636822157,14.506627178331556,13.414651276732341,14.923203822808567,10.659255220670232,10.107167796578606,8.596464155218218,9.778680392879215,9.618042110294493,9.058942549557612,7.945077099207139,6.941679297072113,5.004080525125581,7.662416097830947,5.110239272641702,6.209772415671727,4.8154311114712876,4.91705694713669,5.072670685015709,4.730039168033961,9.008224187854049
5,10.433445970192338,2019,0.8085407414717916,14.033495225089126,7.8351837552667485,9.489486113405677,16.372433724247262,14.564656895824768,15.604088235323617,13.626197861201764,12.034379288794035,15.326823051524654,13.745708073114567,13.96231373948604,14.130258522111328,14.404238446443145,15.326823051524654,11.018173880522747,15.70017413290234,7.303720408099375,10.319406561054663,15.742171772121763,8.074186639392632,8.260212569106043,7.959873964364958,13.2713004901787,14.550482605999244,14.033495225089126,14.149916299425827,14.149916299425827,7.598986124544515,13.815203548841795,14.440050685456912,13.32196567506002,14.885399931606427,10.591754720178628,10.026646511984831,8.66788354836874,9.722620976743771,9.662872000903528,9.098109979324938,8.087105725749758,6.950314643400902,5.013903281736348,7.626235842405083,4.65295031643563,6.221039527473491,4.690430029938915,4.826712455935327,4.71760561531788,4.72384171570559,8.90815361332152
4,10.35845835286405,2018,0.7610767923198929,14.147555149874407,7.622174594817622,9.409027282856401,16.230887377753902,14.271509717674782,15.493566791696827,13.529362995549512,11.783315025049806,15.29230628231429,13.678604334140662,13.868204520957404,14.103624287238842,14.310153749612757,15.29230628231429,10.878016720371875,15.592527048260163,7.184898985172038,10.25098267050655,15.690346436229294,8.00982026688497,8.190674929205912,7.9125172217696775,13.160429578210785,14.393415223011942,14.147555149874407,14.074393876347207,14.074393876347207,7.6091012573564445,13.76870137804923,14.340948302801815,13.182724190308605,14.763717699088744,10.532636599256316,9.95419017250989,8.487673748400109,9.64710451481541,9.68628071898829,9.180085267372403,8.020520277249965,7.128712441890194,4.9849755473156785,7.609877067007216,4.559335649644292,6.204213896786961,4.9494688588587685,5.153291594497779,5.247024072160486,4.958639998977875,8.933400396056303
3,10.196047020097236,2017,0.7495416821376503,14.035215403701581,7.534762657037537,9.50822026940441,16.21675211452303,14.225508267629742,15.497743761277182,13.523651449832846,11.698943149327897,15.24399070322046,13.614881639407233,13.759549544601215,14.07176078512406,14.234607295378769,15.24399070322046,10.808788794558376,15.475608822750955,7.121043985119156,10.22324476103152,15.627151736328777,7.947678217819709,8.128595229822725,7.878367894434212,13.083414627265753,14.181666415666516,14.035215403701581,13.998911436247843,13.998911436247843,7.566010244908061,13.707500700341711,14.229842678879141,13.056320429183614,14.615663156054035,10.46816570505392,9.853513072341245,8.375691145939454,9.560070828684054,9.82859464932769,9.457686035117126,7.7752934859784935,7.058839834479249,5.114130070344239,7.642500632757703,4.075586389293512,6.181884073183159,5.017941869278694,5.1422481808981475,5.118592435601348,4.773223770984341,8.926915889777042
2,10.186637949188055,2016,0.7420945276135956,14.001974357147727,7.738488122494646,9.501964663660587,16.074078588055528,14.093406920152175,15.375664182920126,13.290432238699786,11.387356845154923,15.18360454249849,13.543380260659692,13.646594741353159,14.017545685801437,14.145555826319743,15.18360454249849,10.665331433728767,15.349036374922493,7.0989879212479945,10.202051440191628,15.554023071264286,7.882842327045991,8.068091193183943,7.591382790940613,12.977337605354071,13.889419984694872,14.001974357147727,13.905776999478551,13.905776999478551,7.582963005460213,13.627910673275018,14.103534861998146,12.985578262877349,14.462439748468814,10.354490271149977,9.719068196900027,8.241516103247436,9.463990703243514,9.759874135244331,9.413015221415783,7.626231454963793,6.97389033747543,5.040976961340047,7.507876119788545,4.195742236184662,6.200004354878229,5.135798437050261,5.073297055220967,4.94306997460049,4.81705054502359,8.928110078202646
1,10.0666633054022,2015,0.721253442939164,13.783247662957102,7.614805364711073,9.396487933603666,15.928884727724414,13.993127440948848,15.281891764475926,13.135692173030794,10.837609184816225,15.129512682100556,13.480587321023371,13.544382705186042,13.994595214979348,14.036674739009724,15.129512682100556,10.40815171442111,15.225878781772854,7.060425126592665,10.175534328294884,15.488970608233034,7.827403567947786,8.019328214437547,7.555594375887527,12.92171490391749,13.744241007523733,13.783247662957102,13.816902886225268,13.816902886225268,7.593869284649045,13.566079624934886,13.99721930165282,12.913644685746947,14.316692324643615,10.21274339652143,9.587359983378816,8.12478251560799,9.35433393007537,9.666028959550594,9.326576133087112,7.511600165495637,6.868362822601832,5.046312943132372,7.373077714140795,4.12342740979124,6.232284738722406,5.171167611092169,5.045926774775152,5.141422451298785,4.785521943667649,8.90815361332152
0,9.914075629540438,2014,0.7042997290538582,13.593784751175182,7.682021510826875,9.486986774807699,15.785003550455054,13.84185974596829,15.198705597896316,13.019908726739416,10.535467854910225,15.06825181193817,13.407549838406718,13.438398185285553,13.97015682925151,13.871818450363616,15.06825181193817,10.161853804823828,15.077159544852796,7.006770522806575,10.145531324099728,15.417150343891043,7.772717768489647,7.969882682038961,7.521690947995981,12.807104537182314,13.608927791712233,13.593784751175182,13.738009310543001,13.738009310543001,7.619557860398136,13.503493757906984,13.937321740945299,12.861461622947512,14.110993741188647,10.070665461551974,9.461808261603517,7.989205197086715,9.249342385735726,9.574459355662565,9.238447890644117,7.425128138348506,6.75013385943317,4.978945522217522,7.244411530100216,4.003415010108967,6.268934403634693,5.2746565630245605,5.163265698032377,5.214482018598051,5.234102248630006,8.868976189274543
