,专利申请：居民
区域,中国
次国家,
频率,"年, 年终12月"
单位,单位
数据来源,World Bank
状态,继续
数列ID,265132202
SR码,SR5271702
贸易代码,
助记符,
函数说明,
首次观测日期,1985
最后观测日期,2021
最后更新时间,20/09/2023
数列备注,"Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention--a product or process that provides a new way of doing something or offers a new technical solution to a problem. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.;World Intellectual Property Organization (WIPO), WIPO Patent Report: Statistics on Worldwide Patent Activity. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.;Sum;"
建议,
平均,343772.97297297296
方差,242647272492.24927
标准差,492592.39995380485
偏度,1.2741562756841585
峰度,0.030036432408705238
变异系数,1.4329003111961682
最小,3494
最大,1426644
中位数,56769
总和 SUM,12719600
减 SUBTRACT,-1423150
参照期间,37
1985,4065
1986,3494
1987,3975
1988,4780
1989,4749
1990,5832
1991,7372
1992,10022
1993,12084
1994,11191
1995,10011
1996,11628
1997,12672
1998,13751
1999,15626
2000,25346
2001,30038
2002,39806
2003,56769
2004,65786
2005,93485
2006,122318
2007,153060
2008,194579
2009,229096
2010,293066
2011,415829
2012,535313
2013,704936
2014,801135
2015,968252
2016,1204981
2017,1245709
2018,1393815
2019,1243568
2020,1344817
2021,1426644
