,互联网:用户数:宽带接入
区域,中国
次国家,
频率,月
单位,百万户
数据来源,工业和信息化部
状态,继续
数列ID,12875101 (CTANAA)
SR码,SR6130391
贸易代码,
助记符,
函数说明,
首次观测日期,01/2004
最后观测日期,03/2024
最后更新时间,08/05/2024
数列备注,[COVID-19-IMPACT]
建议,
平均,628.9993
方差,152.1159686777775
标准差,12.333530260139531
偏度,-0.09088928730719112
峰度,-1.279831759813435
变异系数,0.01960817803793984
最小,611.076
最大,647.199
中位数,631.451
总和 SUM,6289.9929999999995
减 SUBTRACT,-36.122999999999934
参照期间,10
05/2023,611.076
06/2023,614.33
07/2023,617.453
08/2023,621.784
09/2023,629.838
10/2023,633.064
11/2023,635.862
12/2023,636.306
02/2024,643.081
03/2024,647.199
