,化学药品制剂制造:亏损企业数,化学药品制剂制造:企业数,化学药品制剂制造:从业人员数:年平均,化学药品制剂制造:资产合计,化学药品制剂制造:流动资产,化学药品制剂制造:库存,化学药品制剂制造:应收账款,化学药品制剂制造:产品库存,化学药品制剂制造:固定资产净值,化学药品制剂制造:负债合计,化学药品制剂制造:营业收入:累计,化学药品制剂制造:营业成本:累计,化学药品制剂制造:营业费用:累计,化学药品制剂制造:主营业务税金及附加:累计,化学药品制剂制造:管理费用:累计,化学药品制剂制造:财务费用:累计,化学药品制剂制造:财务费用:利息支出:累计,化学药品制剂制造:利润总额:累计,化学药品制剂制造:亏损额:累计,化学药品制剂制造:利税总额:累计,化学药品制剂制造:工业销售产值:出口交货值:累计,化学药品制剂制造:工业销售产值:累计,化学药品制剂制造:新产品产值:累计,化学药品制剂制造:工业总产值:累计,化学药品制剂制造:应交增值税:累计
区域,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国
次国家,,,,,,,,,,,,,,,,,,,,,,,,,
频率,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月
单位,个,个,千人,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币
数据来源,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网
状态,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续
数列ID,11850501 (CRTAACP),11850401 (CRTAACO),11850301 (CRTAACN),11849001 (CRTAACA),11848801 (CRTAABY),315046101 (CRTACQR),11848601 (CRTAABW),11848701 (CRTAABX),11848901 (CRTAABZ),11849101 (CRTAACB),11849201 (CRTAACC),11849301 (CRTAACD),11849401 (CRTAACE),11849501 (CRTAACF),11849601 (CRTAACG),11849701 (CRTAACH),11849801 (CRTAACI),11849901 (CRTAACJ),11850001 (CRTAACK),11850101 (CRTAACL),11850901 (CRTAACT),11850801 (CRTAACS),11850701 (CRTAACR),11850601 (CRTAACQ),11850201 (CRTAACM)
SR码,SR280794,SR280793,SR280792,SR280777,SR280775,SR5214588,SR280773,SR280774,SR280776,SR280778,SR280780,SR280781,SR280782,SR280783,SR280784,SR280785,SR280786,SR280787,SR280788,SR280789,SR280798,SR280797,SR280796,SR280795,SR280790
贸易代码,,,,,,,,,,,,,,,,,,,,,,,,,
助记符,,,,,,,,,,,,,,,,,,,,,,,,,
函数说明,,,,,,,,,,,,,,,,,,,,,,,,,
首次观测日期,01/2003,01/2003,01/2002,01/2002,01/2002,04/2011,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002
最后观测日期,06/2022,06/2022,12/2012,06/2022,10/2015,10/2015,06/2022,10/2015,12/2012,10/2015,07/2022,10/2015,10/2015,10/2015,10/2015,10/2015,10/2015,07/2022,10/2015,12/2015,06/2022,12/2012,12/2012,12/2012,10/2015
最后更新时间,23/03/2023,23/03/2023,17/02/2013,23/03/2023,02/12/2015,02/12/2015,23/03/2023,02/12/2015,27/12/2013,02/12/2015,23/03/2023,15/04/2020,02/12/2015,02/12/2015,02/12/2015,02/12/2015,02/12/2015,23/03/2023,02/12/2015,05/02/2016,23/03/2023,27/12/2013,27/12/2013,17/02/2013,02/12/2015
数列备注,,,,,,,,,,,从2019年起，营业收入包括营业收入和其他业务收入。,,,,,,,,,,,,,,
建议,,,,,,,,,,,,,,,,,,,,,,,,,
平均,239.77227722772278,1105.7722772277227,375.07811694444473,541725.7892564647,175386.00616028358,66235.28033333334,76983.0469469768,17361.095057746483,42062.10419816899,143950.77909989428,263807.1817759259,97571.44269718314,30269.19981760562,1145.4757915492967,12527.947029577466,1629.5683190140849,1428.0061190140843,33396.950331944456,920.417037323943,28910.041296503474,7642.731796988234,94263.63238695651,12192.26167,99838.87263310558,9625.153689436622
方差,4791.878232599379,3277.6593271267425,4568.085348203925,140856869246.51474,15572516134.565329,231292277.35953647,2827304552.5111217,113707278.3029599,193744882.23021802,7399206718.792082,54063288933.16076,8776146616.418076,818767725.9964242,1331907.9945430106,130647011.36778224,1581401.7192740655,1434690.7500742688,1049410510.3287389,334549.9279012262,814591815.4501475,48674986.163887225,8606470611.932447,103023620.78566583,9464570753.474085,78532897.69995011
标准差,69.22339368016696,57.250845645516385,67.58761238721135,375309.0316612628,124789.88794996704,15208.296333236556,53172.40405051404,10663.361491713573,13919.227070143586,86018.64169348456,232515.1369979184,93681.08996173175,28614.117599472193,1154.0831835457143,11430.092360422213,1257.5379593769985,1197.7857696910032,32394.606191906994,578.402911387232,28541.054911305353,6976.746101434911,92771.0655966204,10150.055210966382,97286.02547886354,8861.878903480352
