,医药制造业:资产合计,医药制造业:流动资产,医药制造业:应收账款,医药制造业:固定资产净值,医药制造业:负债合计,医药制造业:营业收入:累计,医药制造业:营业成本:累计,医药制造业:主营业务税金及附加:累计,医药制造业:营业费用:累计,医药制造业:管理费用:累计,医药制造业:财务费用:累计,医药制造业:财务费用:利息支出:累计,医药制造业:利润总额:累计,医药制造业:应交增值税:累计,医药制造业:亏损额:累计,医药制造业:资产负债率,医药制造业:流动资金周转率,,医药制造业:累计同比:资产合计,医药制造业:累计同比:流动资产,医药制造业:累计同比:应收账款,医药制造业:累计同比:固定资产净值,医药制造业:累计同比:负债合计,医药制造业:累计同比:营业收入,医药制造业:累计同比:营业成本,医药制造业:累计同比:主营业务税金及附加,医药制造业:累计同比:营业费用,医药制造业:累计同比:管理费用,医药制造业:累计同比:财务费用,医药制造业:累计同比:财务费用:利息支出,医药制造业:累计同比:利润总额,医药制造业:累计同比:应交增值税,医药制造业:累计同比:亏损额,,医药制造业:企业数,医药制造业:劳动生产率
区域,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,,中国,中国
次国家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
频率,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,,"年, 年终12月","年, 年终12月"
单位,十亿人民币,十亿人民币,十亿人民币,十亿人民币,十亿人民币,十亿人民币,十亿人民币,十亿人民币,十亿人民币,十亿人民币,十亿人民币,十亿人民币,十亿人民币,十亿人民币,十亿人民币,%,次,,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,,个,人民币/人
数据来源,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,,国家统计局,国家统计局
状态,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,,继续,继续
数列ID,8041701 (COTADBU),7845201 (COBCZE),7853501 (COBDCI),7849401 (COBDAT),7857601 (COBDDX),8046201 (COTAFBU),7820601 (COBCPS),7828801 (COBCSW),7824701 (COBCRH),7832901 (COBCUL),7837001 (COBCWA),7841101 (COBCXP),8050701 (COTAHBU),7861701 (COBDFM),8036801 (COSEAAU),7865801 (COBDHB),7869901 (COBDIQ),,263612001 (CBRACCJ),263612101 (CBRACCK),263612201 (CBRACCL),263612301 (CBRACCM),263612401 (CBRACCN),161562501 (COCFLU),161562901 (COCFOU),263612501 (CBRACCO),263612601 (CBRACCP),263612701 (CBRACCQ),263612801 (CBRACCR),263612901 (CBRACCS),161569101 (COCFNH),263613201 (CBRACCV),263613101 (CBRACCU),,2175501 (CBAATS),2226901 (CBABNF)
SR码,SR4130089,SR4129817,SR4130874,SR4130275,SR4129933,SR4129631,SR4130271,SR4130699,SR4130333,SR4130688,SR4130821,SR4130035,SR4130071,SR4130079,SR4130627,SR4130377,SR4129361,,SR4130805,SR4130550,SR4129343,SR4130943,SR4129964,SR4129298,SR4130690,SR4130355,SR4131049,SR4130270,SR4129666,SR4130132,SR4129606,SR4129402,SR4129473,,SR482183,SR482186
贸易代码,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
助记符,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
