,卫生总费用:居民个人现金支出
区域,中国
次国家,
频率,"年, 年终12月"
单位,百万人民币
数据来源,国家卫生健康委员会
状态,继续
数列ID,298262401 (CGBSCN)
SR码,SR4531360
贸易代码,
助记符,
函数说明,
首次观测日期,1978
最后观测日期,2022
最后更新时间,18/10/2023
数列备注,
建议,
平均,539461.6996882723
方差,438473893236.36566
标准差,662173.6126095373
偏度,1.2923138154484477
峰度,0.6048566922534797
变异系数,1.2274710382445575
最小,2251.648
最大,2294094
中位数,270516.98870166
总和 SUM,24275776.48597224
减 SUBTRACT,-2291842.352
参照期间,45
1978,2251.648
1979,2566.912
1980,3035.401
1981,3801.986
1982,3842.986
1983,6524.125
1984,7900.175
1985,7938.97
1986,8331.75
1987,11505.116
1988,15266.2
1989,20983.37743558
1990,26700.55487117
1991,33502.25875677
1992,43669.83450222
1993,58097.04625142
1994,77406.13177049
1995,99997.88928505
1996,137214.92081162
1997,168909.12290508
1998,201762.70161335
1999,226055.50124023
2000,270516.98870166
2001,301388.33658256
2002,334213.62916266
2003,367866.57525142
2004,407135.40147863
2005,452097.618
2006,485356.28745
2007,509866.4958
2008,587586.16
2009,657116
2010,705129
2011,846528
2012,965632
2013,1072934.3484106
2014,1129540.8051163
2015,1199264.84955143
2016,1333789.7202
2017,1513359.661824
2018,1691199
2019,1867387
2020,1995943
2021,2120567
2022,2294094
