,卫生总费用:社会支出
区域,中国
次国家,
频率,"年, 年终12月"
单位,百万人民币
数据来源,国家卫生健康委员会
状态,继续
数列ID,298262301 (CGBSCM)
SR码,SR4531368
贸易代码,
助记符,
函数说明,
首次观测日期,1978
最后观测日期,2022
最后更新时间,18/10/2023
数列备注,
建议,
平均,675630.2925967365
方差,1102832284986.6108
标准差,1050158.2190254051
偏度,1.7554187164394837
峰度,2.0356003306820702
变异系数,1.5543385643488505
最小,5225.352
最大,3834567
中位数,117193.88840984
总和 SUM,30403363.16685314
减 SUBTRACT,-3829341.648
参照期间,45
1978,5225.352
1979,5988.088
1980,6096.599
1981,6243.014
1982,7011.014
1983,6454.875
1984,7360.825
1985,9196.03
1986,11035.25
1987,13724.884
1988,18998.8
1989,23783.62256442
1990,29310.17230199
1991,35441.09612793
1992,43154.8832049
1993,52474.60738327
1994,64490.68771606
1995,76780.59655606
1996,87566.01921123
1997,98405.80184557
1998,107103.21087064
1999,114599.31138073
2000,117193.88840984
2001,121143.01757044
2002,153938.38719461
2003,178849.620797
2004,222535.45858025
2005,258641
2006,321092.17630327
2007,389371.76963245
2008,506559.73051377
2009,615449
2010,719661
2011,841645
2012,1003070
2013,1139378.90160964
2014,1343775.49162345
2015,1650670.82629439
2016,1909667.5904609
2017,2225880.56770033
2018,2581078
2019,2915057
2020,3027367
2021,3496326
2022,3834567
