,床位数:医院:综合,床位数:医院:中医,床位数:医院:专科,床位数:卫生院
区域,中国,中国,中国,中国
次国家,,,,
频率,"年, 年终12月","年, 年终12月","年, 年终12月","年, 年终12月"
单位,张,张,张,张
数据来源,国家卫生健康委员会,国家卫生健康委员会,国家卫生健康委员会,国家卫生健康委员会
状态,继续,继续,继续,继续
数列ID,298261701 (CGBSCG),298261801 (CGBSCH),298261901 (CGBSCI),298262001 (CGBSCJ)
SR码,SR4531364,SR4531371,SR4531363,SR4531365
贸易代码,,,,
助记符,,,,
函数说明,,,,
首次观测日期,1950,1950,1950,1960
最后观测日期,2022,2022,2022,2023
最后更新时间,15/01/2024,12/10/2023,15/01/2024,29/02/2024
数列备注,,,,
建议,,,,
平均,4160150.4,845649.6,1021396.9,1335676.8
方差,287984582176.2667,25087204892.71111,90015987677.43335,13102265195.733334
标准差,536641.9496985553,158389.40902949005,300026.64494580036,114465.12654836553
偏度,-0.5001787629208224,-0.02134945377094515,0.22704873125768865,-0.11044181348477573
峰度,-1.1505239263727387,-1.2602898419007822,-1.2713224040309092,-1.1214632773341617
变异系数,0.1289958049830495,0.18729910004035957,0.2937414877074723,0.08569822171678472
最小,3255153,608843,621143,1167245
最大,4791462,1078758,1485396,1510000
中位数,4275622.5,845134,999841.5,1351911.5
总和 SUM,41601504,8456496,10213969,13356768
减 SUBTRACT,-1536309,-469915,-864253,-342755
参照期间,10,10,10,10
2013,3255153,608843,621143,
2014,3499924,665005,685839,1167245
2015,3721036,715393,762519,1196122
2016,3927857,761755,844580,1223891
2017,4172353,818216,945576,1292076
2018,4378892,872052,1054107,1333909
2019,4532676,932578,1158126,1369914
2020,4622462,981142,1258267,1390325
2021,4699689,1022754,1398416,1417410
2022,4791462,1078758,1485396,1455876
2023,,,,1510000
