,在校生数:高等:普通本专科
区域,中国
次国家,
频率,"年, 年终12月"
单位,千人
数据来源,中国教育部
状态,继续
数列ID,4968101 (CGTG)
SR码,SR202487037
贸易代码,
助记符,
函数说明,
首次观测日期,1949
最后观测日期,2022
最后更新时间,31/05/2023
数列备注,
建议,
平均,7588.204270270269
方差,116297889.64078197
标准差,10784.149926664686
偏度,1.3312147959704246
峰度,0.2862081007025279
变异系数,1.4211728549422125
最小,48
最大,36594.175
中位数,1791.55
总和 SUM,561527.116
减 SUBTRACT,-36546.175
参照期间,74
1949,117
1950,137
1951,153
1952,191
1953,212
1954,253
1955,288
1956,403
1957,441
1958,660
1959,812
1960,962
1961,947
1962,830
1963,750
1964,685
1965,674.4
1966,534
1967,409
1968,259
1969,109
1970,48
1971,83
1972,194
1973,314
1974,430
1975,501
1976,565
1977,625
1978,856.3
1979,1020
1980,1143.7
1981,1279
1982,1154
1983,1207
1984,1396
1985,1703.1
1986,1880
1987,1959
1988,2066
1989,2082
1990,2063
1991,2044
1992,2184
1993,2536
1994,2799
1995,2906
1996,3021
1997,3174
1998,3408.764
1999,4085.874
2000,5560.9
2001,7190.658
2002,9033.631
2003,11085.642
2004,13334.969
2005,15617.767
2006,17388.441
2007,18848.954
2008,20210.249
2009,21446.57
2010,22317.929
2011,23085.078
2012,23913.155
2013,24680.726
2014,25476.999
2015,26252.968
2016,26958.433
2017,27535.869
2018,28310.348
2019,30315.262
2020,32852.948
2021,34961.307
2022,36594.175
