,在校生数:高等:研究生
区域,中国
次国家,
频率,"年, 年终12月"
单位,千人
数据来源,中国教育部
状态,继续
数列ID,4968401 (CGTJ)
SR码,SR202486937
贸易代码,
助记符,
函数说明,
首次观测日期,1949
最后观测日期,2023
最后更新时间,29/02/2024
数列备注,2017年起，在校生包含全日制、非全日制研究生和在职人员攻读硕士学位学生。
建议,
平均,679.622
方差,1097312.119657818
标准差,1047.5266677549637
偏度,1.6143802898708512
峰度,1.5949896917128141
变异系数,1.5413371959044346
最小,0.226
最大,3883
中位数,106.771
总和 SUM,45534.674
减 SUBTRACT,-3882.774
参照期间,67
1949,0.629
1950,1.261
1951,2.168
1952,2.763
1953,4.249
1954,4.753
1955,4.822
1956,4.841
1957,3.178
1958,1.635
1959,2.171
1960,3.635
1961,6.009
1962,6.13
1963,4.938
1964,4.881
1965,4.546
1966,3.409
1967,2.557
1968,1.317
1977,0.226
1978,10.934
1979,18.83
1980,21.604
1981,18.848
1982,25.847
1983,37.166
1984,57.566
1985,87.331
1986,110.371
1987,120.191
1988,112.776
1989,101.339
1990,93.018
1991,88.128
1992,94.164
1993,106.771
1994,127.935
1995,145.443
1996,163.322
1997,176.353
1998,198.885
1999,233.513
2000,301.239
2001,393.256
2002,500.98
2003,651.26
2004,819.896
2005,978.61
2006,1104.653
2007,1195.047
2008,1283.046
2009,1404.942
2010,1538.416
2011,1645.845
2012,1719.818
2013,1793.953
2014,1847.689
2015,1911.406
2016,1981.051
2017,2639.561
2018,2731.257
2019,2863.712
2020,3139.598
2021,3332.373
2022,3653.613
2023,3883
