,学成回国留学生数
区域,中国
次国家,
频率,"年, 年终12月"
单位,人
数据来源,中国教育部
状态,继续
数列ID,258765301 (CGBRMR)
SR码,SR202486867
贸易代码,
助记符,
函数说明,
首次观测日期,1957
最后观测日期,2020
最后更新时间,13/01/2023
数列备注,
建议,
平均,105633.12765957447
方差,36526555844.070305
标准差,191119.21892910273
偏度,1.955224497840088
峰度,3.020264613767824
变异系数,1.8092735031478535
最小,162
最大,777000
中位数,7130
总和 SUM,4964757
减 SUBTRACT,-776838
参照期间,47
1957,347
1962,980
1965,199
1975,186
1978,248
1979,231
1980,162
1981,1143
1982,2116
1983,2303
1984,2290
1985,1424
1986,1388
1987,1605
1988,3000
1989,1753
1990,1593
1991,2069
1992,3611
1993,5128
1994,4230
1995,5750
1996,6570
1997,7130
1998,7379
1999,7748
2000,9121
2001,12243
2002,17945
2003,20152
2004,24726
2005,34987
2006,42000
2007,44000
2008,69300
2009,108300
2010,134800
2011,186200
2012,272900
2013,353500
2014,364800
2015,409100
2016,432500
2017,480900
2018,519400
2019,580300
2020,777000
