,工业生产:工业机器人
区域,中国
次国家,
频率,月
单位,台(套)
数据来源,国家统计局
状态,继续
数列ID,374727147 (CBBNLO)
SR码,SR97594197
贸易代码,
助记符,
函数说明,
首次观测日期,11/2015
最后观测日期,03/2024
最后更新时间,16/04/2024
数列备注,
建议,
平均,21904.37831325301
方差,169149065.84074342
标准差,13005.73203786482
偏度,0.3942284988516348
峰度,-1.1735635305385657
变异系数,0.5937503384880748
最小,1089
最大,50623
中位数,17241
总和 SUM,1818063.4
减 SUBTRACT,-49534
参照期间,83
11/2015,1089
12/2015,1168
03/2016,4201
04/2016,7482
05/2016,7613
06/2016,6670
07/2016,5839
08/2016,6506
09/2016,5728
10/2016,5687
11/2016,7485
12/2016,7891
03/2017,10163
04/2017,9782
05/2017,10057
06/2017,12614
07/2017,12458
08/2017,12121
09/2017,13085
10/2017,9445
11/2017,11243
12/2017,12682
03/2018,14036
04/2018,13495.9
05/2018,13659.2
06/2018,13777
07/2018,13669
08/2018,14068
09/2018,11448
10/2018,9590
11/2018,11104
12/2018,11961
03/2019,13696
04/2019,12917
05/2019,13317.2
06/2019,13680
07/2019,15477.5
08/2019,14599.8
09/2019,13726
10/2019,14369
11/2019,16080
12/2019,20013.8
03/2020,17241
04/2020,19257
05/2020,17794
06/2020,20761
07/2020,21170
08/2020,20663
09/2020,23194
10/2020,21467
11/2020,23635
12/2020,29706
03/2021,33075
04/2021,30178
05/2021,29743
06/2021,36383
07/2021,31342
08/2021,32828
09/2021,29006
10/2021,28460
11/2021,31915
12/2021,35175
03/2022,44322
04/2022,32535
05/2022,36616
06/2022,46144
07/2022,38183
08/2022,41261
09/2022,43009
10/2022,39030
11/2022,40113
12/2022,40457
03/2023,43883
04/2023,38083
05/2023,40175
06/2023,39974
07/2023,34274
08/2023,33193
09/2023,36096
10/2023,33074
11/2023,36352
12/2023,41980
03/2024,50623
