,工业生产:服务机器人
区域,中国
次国家,
频率,月
单位,台(套)
数据来源,国家统计局
状态,继续
数列ID,459191287
SR码,SR203465417
贸易代码,
助记符,
函数说明,
首次观测日期,03/2021
最后观测日期,03/2024
最后更新时间,17/04/2024
数列备注,
建议,
平均,682890.4193548387
方差,22921703833.384945
标准差,151399.15400485217
偏度,0.4669790503436373
峰度,0.4414707110293792
变异系数,0.22170343837578899
最小,426813
最大,1083887
中位数,700247
总和 SUM,21169603
减 SUBTRACT,-657074
参照期间,31
03/2021,748288
04/2021,703019
05/2021,700247
06/2021,817251
07/2021,596110
08/2021,680220
09/2021,701306
10/2021,753277
11/2021,858566
12/2021,902551
03/2022,694150
04/2022,482336
05/2022,529558
06/2022,476557
07/2022,467654
08/2022,426813
09/2022,679899
10/2022,534035
11/2022,538496
12/2022,490992
03/2023,700272
04/2023,706001
05/2023,697262
06/2023,662658
07/2023,581935
08/2023,707141
09/2023,1083887
10/2023,825836
11/2023,726289
12/2023,738284
03/2024,958713
