,工业生产:累计:工业机器人
区域,中国
次国家,
频率,月
单位,台(套)
数据来源,国家统计局
状态,继续
数列ID,374727207 (CBBNLU)
SR码,SR97594257
贸易代码,
助记符,
函数说明,
首次观测日期,11/2015
最后观测日期,03/2024
最后更新时间,16/04/2024
数列备注,
建议,
平均,135435.422826087
方差,11874976798.234087
标准差,108972.36713146175
偏度,1.1274607178536307
峰度,0.4833671685453944
变异系数,0.8046075750167183
最小,7538
最大,443055
中位数,104242
总和 SUM,12460058.899999999
减 SUBTRACT,-435517
参照期间,92
11/2015,15422
12/2015,16590
02/2016,7538
03/2016,11497
04/2016,26184
05/2016,36142
06/2016,32083
07/2016,38203
08/2016,45439
09/2016,50925
10/2016,56604
11/2016,64123
12/2016,72426
02/2017,13662
03/2017,25220
04/2017,35073
05/2017,44360
06/2017,59097
07/2017,71631
08/2017,82175
09/2017,95351
10/2017,104793
11/2017,118169
12/2017,131079
02/2018,18770
03/2018,32950
04/2018,46412.9
05/2018,60071.1
06/2018,73849.1
07/2018,87709
08/2018,101717
09/2018,108271
10/2018,118452
11/2018,131495
12/2018,147682
02/2019,20041.3
03/2019,32330.3
04/2019,45258
05/2019,60260
06/2019,75406
07/2019,100905.5
08/2019,120777.5
09/2019,133574.5
10/2019,151079.5
11/2019,166594.6
12/2019,177000
02/2020,21292
03/2020,34645.3
04/2020,54602.3
05/2020,72619
06/2020,93794
07/2020,115976
08/2020,136873
09/2020,160715
10/2020,183447
11/2020,206851
12/2020,212000
02/2021,45433
03/2021,78714
04/2021,105439
05/2021,136405
06/2021,173630
07/2021,205094
08/2021,239249
09/2021,268694
10/2021,298098
11/2021,330098
12/2021,366044
02/2022,76381
03/2022,102496
04/2022,125439
05/2022,166091
06/2022,202436
07/2022,238041
08/2022,277536
09/2022,322544
10/2022,362568
11/2022,402638
12/2022,443055
02/2023,62036
03/2023,103691
04/2023,142160
05/2023,182161
06/2023,222091
07/2023,256260
08/2023,281515
09/2023,320478
10/2023,352912
11/2023,387605
12/2023,429534
02/2024,75992
03/2024,120294
