,工业生产:累计:服务机器人
区域,中国
次国家,
频率,月
单位,台(套)
数据来源,国家统计局
状态,继续
数列ID,459191307
SR码,SR203465427
贸易代码,
助记符,
函数说明,
首次观测日期,02/2021
最后观测日期,03/2024
最后更新时间,17/04/2024
数列备注,
建议,
平均,4193335.742857143
方差,5570286163848.784
标准差,2360145.3692196133
偏度,0.33607112196329575
峰度,-0.9312467690677244
变异系数,0.5628324355472478
最小,755968
最大,9214377
中位数,3925950
总和 SUM,146766751
减 SUBTRACT,-8458409
参照期间,35
02/2021,956287
03/2021,1695764
04/2021,2391928
05/2021,3092193
06/2021,3925950
07/2021,4834380
08/2021,5894317
09/2021,6595643
10/2021,7409924
11/2021,8346016
12/2021,9214377
02/2022,1079696
03/2022,1785543
04/2022,2265142
05/2022,2793997
06/2022,3277196
07/2022,3748735
08/2022,4176153
09/2022,4877858
10/2022,5427892
11/2022,5967043
12/2022,6458014
02/2023,755968
03/2023,1450428
04/2023,2178790
05/2023,2867635
06/2023,3530430
07/2023,4037615
08/2023,4744751
09/2023,6647748
10/2023,6435567
11/2023,7097602
12/2023,7833259
02/2024,995947
03/2024,1976963
