,执业医师
区域,中国
次国家,
频率,"年, 年终12月"
单位,千人
数据来源,国家卫生健康委员会
状态,继续
数列ID,508449597
SR码,SR203153227
贸易代码,
助记符,
函数说明,
首次观测日期,1950
最后观测日期,2022
最后更新时间,18/10/2023
数列备注,
建议,
平均,1537.6080196078433
方差,770201.0593783796
标准差,877.6109954748628
偏度,0.7727105570933778
峰度,0.06481601910773271
变异系数,0.5707637995402051
最小,327.4
最大,3721.811
中位数,1475.232
总和 SUM,78418.00900000002
减 SUBTRACT,-3394.411
参照期间,51
1950,327.4
1955,402.409
1960,427.498
1965,510.091
1970,446.251
1975,521.617
1978,609.6
1979,653
1980,709.473
1981,620
1982,668
1983,704
1984,716
1985,724.238
1986,746
1987,777
1988,1096
1989,1258
1990,1302.997
1991,1310.933
1992,1327.875
1993,1372.471
1994,1425.375
1995,1454.926
1996,1475.232
1997,1505.342
1998,1513.975
1999,1561.584
2000,1603.266
2001,1637.337
2002,1463.573
2003,1534.046
2004,1582.442
2005,1622.684
2006,1678.031
2007,1715.46
2008,1791.881
2009,1905.436
2010,1972.84
2011,2020.154
2012,2138.836
2013,2285.794
2014,2374.917
2015,2508.408
2016,2651.398
2017,2828.999
2018,3010.376
2019,3210.515
2020,3401.672
2021,3590.846
2022,3721.811
