,财政支出:一般公共预算支出:科学技术,生物药品制品制造:企业数,生物药品制品制造:亏损企业数,生物药品制品制造:从业人员数:年平均,生物药品制品制造:资产合计,生物药品制品制造:流动资产,生物药品制品制造:应收账款,生物药品制品制造:库存,生物药品制品制造:产品库存,生物药品制品制造:固定资产净值,生物药品制品制造:负债合计,生物药品制品制造:营业收入:累计,生物药品制品制造:主营业务成本:累计,生物药品制品制造:营业费用:累计,生物药品制品制造:主营业务税金及附加:累计,生物药品制品制造:管理费用:累计,生物药品制品制造:财务费用:累计,生物药品制品制造:财务费用:利息支出:累计,生物药品制品制造:利润总额:累计,生物药品制品制造:亏损额:累计,生物药品制品制造:利税总额:累计,生物药品制品制造:应交增值税:累计,生物药品制品制造:工业总产值:累计,生物药品制品制造:新产品产值:累计,生物药品制品制造:工业销售产值:累计,生物药品制品制造:工业销售产值:出口交货值:累计
区域,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国
次国家,,,,,,,,,,,,,,,,,,,,,,,,,,
频率,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月
单位,十亿人民币,个,个,千人,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币
数据来源,财政部,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网,国家统计局 & 医药统计网
状态,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续
数列ID,136478701 (CFAEGT),11852801 (CRTAADM),11852901 (CRTAADN),11852701 (CRTAADL),11851401 (CRTAACY),11851201 (CRTAACW),11851001 (CRTAACU),315053501 (CRTACRP),11851101 (CRTAACV),11851301 (CRTAACX),11851501 (CRTAACZ),11851601 (CRTAADA),11851701 (CRTAADB),11851801 (CRTAADC),11851901 (CRTAADD),11852001 (CRTAADE),11852101 (CRTAADF),11852201 (CRTAADG),11852301 (CRTAADH),11852401 (CRTAADI),11852501 (CRTAADJ),11852601 (CRTAADK),11853001 (CRTAADO),11853101 (CRTAADP),11853201 (CRTAADQ),11853301 (CRTAADR)
SR码,SR1724991,SR536065,SR536066,SR536064,SR536049,SR536047,SR536045,SR5214555,SR536046,SR536048,SR536050,SR536052,SR536053,SR536054,SR536055,SR536056,SR536057,SR536058,SR536059,SR536060,SR536061,SR536062,SR536067,SR536068,SR536069,SR536070
贸易代码,,,,,,,,,,,,,,,,,,,,,,,,,,
助记符,,,,,,,,,,,,,,,,,,,,,,,,,,
函数说明,,,,,,,,,,,,,,,,,,,,,,,,,,
首次观测日期,01/2007,01/2003,01/2003,01/2002,01/2002,01/2002,01/2002,04/2011,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,03/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002
最后观测日期,03/2024,06/2022,06/2022,12/2012,06/2022,10/2015,06/2022,10/2015,10/2015,12/2012,10/2015,07/2022,10/2015,10/2015,10/2015,10/2015,10/2015,10/2015,07/2022,10/2015,12/2015,10/2015,12/2012,12/2012,12/2012,06/2022
最后更新时间,22/04/2024,23/03/2023,23/03/2023,25/10/2021,23/03/2023,25/10/2021,23/03/2023,25/10/2021,25/10/2021,25/10/2021,25/10/2021,23/03/2023,25/10/2021,25/10/2021,25/10/2021,25/10/2021,25/10/2021,25/10/2021,23/03/2023,25/10/2021,25/10/2021,25/10/2021,25/10/2021,25/10/2021,25/10/2021,23/03/2023
数列备注,,,,,,,,,,,,从2019年起，营业收入包括营业收入和其他业务收入。,,,,,,,,,,,,,,
建议,,,,,,,,,,,,,,,,,,,,,,,,,,
平均,97.25000000000001,943.3,216.1,158.6011,839740,150279.19160000002,95362,28779.5198,11029.7339,29899.006000000005,106646.24579999999,373069,95540.0568,8933.911500000002,913.0681999999999,7349.698699999999,944.5964,1163.7451,175930,772.7056,25777.243800000004,4070.2047000000007,108045.363972838,6845.8910000000005,107982.604,90017.4037
方差,3969.2205555555556,1151.788888888889,1410.322222222222,16.00290054444444,4416504888.888889,124491001.11968152,74984706.66666667,2010696.8812841785,720588.1948036556,250308876.58684888,53933262.74594373,23846046810,3292669533.6950336,26553546.184406944,289996.1283870667,17797868.47275868,294178.5867302667,423141.9713760999,8440506622.222222,50053.32599960001,218230414.58856434,5779447.093003568,2752334274.320177,22119810.422565553,3347657605.7418714,3053465999.522436
标准差,63.00175041659998,33.93801539408115,37.55425704527014,4.000362551625095,66456.78963724391,11157.553545454377,8659.371031816727,1417.9904376561142,848.8746637776719,15821.152821044643,7343.926929507383,154421.6526592045,57381.78747385823,5153.013311103217,538.512885999088,4218.752004178331,542.3823252377115,650.4936366914744,91872.22987509459,223.72600653388514,14772.623822075899,2404.0480637881533,52462.69411991894,4703.170252347405,57858.945771089464,55258.1758613369
偏度,2.3771313017921103,1.6990002573050982,1.5711028245927077,0.5161118293527247,-0.7888464606539027,0.18453457674451487,1.4935269049573112,-0.3130732980772306,-0.46485979725488785,1.0301574766122392,0.3548422783239541,-0.13461081971927602,0.28227673733159664,0.26151382236419707,0.2857893813698018,0.2835880046833451,0.24273620194120762,0.2571634116387748,-0.3887577769076851,0.8958279832099721,0.42509492948151273,0.28019031182584586,-0.0978347632235828,0.26221670989797613,0.4331992521241721,-0.06136161775406399
峰度,6.286645866699183,1.2891360511815622,1.2709971192498415,0.3961647787853577,-0.3866113910249407,-1.5521660994167594,0.9212134403532106,-1.660357010057711,-1.2231929398353376,-0.529497629706404,-1.7945149156659546,-1.3683756157074605,-1.322439733967364,-1.336708018723042,-1.3129247307982395,-1.3380693234065917,-1.2712619849291342,-1.3129895649824492,-1.4745652081927845,-0.11839230508326803,-0.46842581439693687,-1.3135761638816708,-0.884569752408721,-1.4265545648422262,0.05854628975099896,-1.9358564120249664
变异系数,0.6478329091681231,0.03597796607026518,0.1737818465769095,0.02522279197070572,0.07913972138667197,0.07424549883893823,0.09080525819316632,0.04927081645247306,0.07696238834716329,0.5291531370990942,0.06886249838817471,0.41392249867773656,0.6006044940289195,0.5767925181599589,0.5897838584227203,0.5740033947484584,0.5741947833357309,0.5589657363038301,0.5222090028709975,0.2895358937917431,0.5730877954483209,0.5906454935271813,0.485561732506244,0.6870063009106345,0.535817285635096,0.6138610267576169
最小,52.4,920,181,152.361,714740,136439.482,87440,26958.242,9762.355,16999.99,98805.87,139560,26789.035,2730.85,267.955,2311.424,278.001,373.777,45690,535.385,5607.145,1190.519,30049.57644628,1760.55,29087.99,25910.409
最大,263,1010,293,166.23,920760,166348.825,112110,30384.278,11968.069,58046.73,117515.968,591810,186440.437,17009.37,1759.614,14000.118,1803.784,2199.205,295660,1192.873,52747.407,7882.006,182438.87179487,14611.03,217204.57,163370
中位数,78.55000000000001,930.5,203.5,158.632,866465,148407.4575,92105,28889.8975,11066.4945,22530.845,104351.199,389265,89073.55900000001,8473.359,860.7525,6847.124,882.462,1092.9565,201265,723.6555,24919.134,3846.1215,115795.95903466,6786.035,111332.305,100155
总和 SUM,972.5,9433,2161,1586.011,8397400,1502791.916,953620,287795.198,110297.33899999999,298990.06,1066462.458,3730690,955400.568,89339.11499999999,9130.682,73496.987,9445.964,11637.451,1759300,7727.0560000000005,257772.43800000002,40702.047000000006,1080453.63972838,68458.91,1079826.04,900174.037
减 SUBTRACT,-210.6,-90,-112,-13.869,-206020,-29909.343000000023,-24670,-3426.036,-2205.714,-41046.740000000005,-18710.097999999998,-452250,-159651.402,-14278.519999999999,-1491.659,-11688.694,-1525.7830000000001,-1825.4279999999999,-249970,-657.488,-47140.262,-6691.487,-152389.29534859,-12850.480000000001,-188116.58000000002,-137459.59100000001
参照期间,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
02/2007,,,,,,,,,,16999.99,,,,,,,,,,,,,,,,
05/2007,,,,,,,,,,17982.26,,,,,,,,,,,,,,,,
08/2007,,,,,,,,,,18108.12,,,,,,,,,,,,,,,,
11/2007,,,,,,,,,,18203.13,,,,,,,,,,,,,,,,
12/2007,,,,,,,,,,18129.7,,,,,,,,,,,,,,,,
12/2008,,,,,,,,,,28716.48,,,,,,,,,,,,,,,,
08/2009,,,,,,,,,,,,,,,,,,,,,,,,7044.93,,
11/2009,,,,,,,,,,,,,,,,,,,,,,,,10649.25,,
12/2009,,,,,,,,,,26858.56,,,,,,,,,,,,,,11156.27,,
01/2010,,,,,,,,,,,,,,,,,,,,,,,,2000.71,,
02/2010,,,,,,,,,,,,,,,,,,,,,,,,2000.71,,
05/2010,,,,,,,,,,,,,,,,,,,,,,,,6527.14,,
08/2010,,,,,,,,,,,,,,,,,,,,,,,,10372.8,,
11/2010,,,,,,,,,,,,,,,,,,,,,,,114948.32644628,14611.03,111269.98,
12/2010,,,,,,,,,,41897.65,,,,,,,,,,,,,134645.32,,128357.63,
03/2011,,,,,,,,,,,,,,,,,,,,,,,30049.57644628,,29087.99,
06/2011,,,,,,,,,,,,,,,,,,,,,,,72904.20454545,,70571.27,
09/2011,,,,,,,,,,,,,,,,,,,,,,,116643.59162304,,111394.63,
12/2011,,,,,,,,,,54047.44,,,,,,,,,,,,,178243.68,1760.55,169434.06,
03/2012,,,,152.361,,,,,,,,,,,,,,,,,,,37117.12041885,,35446.85,
04/2012,,,,156.191,,,,,,,,,,,,,,,,,,,,,,
05/2012,,,,155.193,,,,,,,,,,,,,,,,,,,,,,
06/2012,,,,156.313,,,,,,,,,,,,,,,,,,,82991.62886598,,80501.88,
07/2012,,,,158.513,,,,,,,,,,,,,,,,,,,,,,
08/2012,,,,158.953,,,,,,,,,,,,,,,,,,,,,,
09/2012,,,,158.751,,,,,,,,,,,,,,,,,,,130471.31958763,,126557.18,
10/2012,,,,160.303,,,,,,,,,,,,,,,,,,,,,,
11/2012,,,,163.203,,,,,,,,,,,,,,,,,,,,,,
12/2012,,,,166.23,,,,,,58046.73,,,,,,,,,,,,,182438.87179487,2335.52,217204.57,
11/2014,,,,,,,,26974.286,,,,,,,,,,,,,,,,,,
01/2015,,,,,,136439.482,,26958.242,9762.355,,98805.87,,26789.035,2730.85,267.955,2311.424,278.001,373.777,,535.385,,1190.519,,,,
02/2015,,,,,,136439.482,,26958.242,9762.355,,98805.87,,26789.035,2730.85,267.955,2311.424,278.001,373.777,,535.385,5607.145,1190.519,,,,
03/2015,,,,,,141697.63,,,10340.25,,99638.07,,44498.2,4302.41,431.67,3550.91,464.13,597.45,,603.81,10006.5,1934.18,,,,
04/2015,,,,,,143069.592,,28396.226,11035.467,,101566.299,,61294.687,5841.253,589.942,4856.153,655.566,777.654,,642.121,13711.806,2594.007,,,,
05/2015,,,,,,147307.933,,28768.585,10877.81,,103789.992,,78564.654,7511.171,767.942,6118.122,809.247,975.75,,735.179,17813.812,3368.98,,,,
06/2015,,,,,,149506.982,,29011.21,11097.522,,104912.406,,99582.464,9435.547,953.563,7576.126,955.677,1210.163,,712.132,22908.377,4323.263,,,,
07/2015,,,,,,158067.032,,30384.278,11839.56,,112390.812,,123703.814,11398.599,1150.393,9432.17,1234.717,1509.269,,805.692,26929.891,5223.794,,,,
08/2015,,,,,,159649.958,,30261.827,11968.069,,113720.701,,142972.742,13139.775,1362.148,10865.18,1376.081,1697.186,,877.969,30878.3,6002.779,,,,
09/2015,,,,,,164265,,29888.388,11694.73,,115316.47,,164765.5,15239.29,1579.5,12475.36,1590.76,1923.22,,1086.51,36522.17,6992,,,,
10/2015,,,,,,166348.825,,30193.914,11919.221,,117515.968,,186440.437,17009.37,1759.614,14000.118,1803.784,2199.205,,1192.873,40647.03,7882.006,,,,
12/2015,,,,,,,,,,,,,,,,,,,,,52747.407,,,,,
11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,25910.409
12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,30733.628
05/2021,,930,210,,714740,,87440,,,,,,,,,,,,,,,,,,,
06/2021,,931,202,,761680,,91620,,,,,290410,,,,,,,147690,,,,,,,
07/2021,,920,200,,785530,,88450,,,,,361140,,,,,,,186650,,,,,,,92490
08/2021,,921,205,,823920,,95630,,,,,417390,,,,,,,215880,,,,,,,107820
09/2021,,924,208,,859840,,91970,,,,,463920,,,,,,,231160,,,,,,,126080
10/2021,,926,197,,873090,,92240,,,,,500140,,,,,,,247190,,,,,,,138400
11/2021,,934,188,,877720,,92880,,,,,539530,,,,,,,265500,,,,,,,151350
12/2021,,933,181,,878790,,90980,,,,,591810,,,,,,,295660,,,,,,,163370
04/2022,,1004,293,,901330,,112110,,,,,139560,,,,,,,45690,,,,,,,28810
