,科学和技术期刊文章
区域,中国
次国家,
频率,"年, 年终12月"
单位,单位
数据来源,World Bank
状态,继续
数列ID,265105702
SR码,SR5271186
贸易代码,
助记符,
函数说明,
首次观测日期,1996
最后观测日期,2020
最后更新时间,11/05/2023
数列备注,"Scientific and technical journal articles refer to the number of scientific and engineering articles published in the following fields: physics, biology, chemistry, mathematics, clinical medicine, biomedical research, engineering and technology, and earth and space sciences.;National Science Foundation, Science and Engineering Indicators.;Gap-filled total;"
建议,
平均,259790.4996
方差,36151128927.044685
标准差,190134.50220053352
偏度,0.5257735198046618
峰度,-0.6532429247699425
变异系数,0.7318762714313418
最小,33621.11
最大,669744.3
中位数,247545.45
总和 SUM,6494762.489999999
减 SUBTRACT,-636123.1900000001
参照期间,25
1996,33621.11
1997,37424.8
1998,43775.33
1999,45192.17
2000,53284.78
2001,70675.54
2002,75171.18
2003,87849.66
2004,120946.86
2005,165403.81
2006,192392.77
2007,213167.91
2008,247545.45
2009,285495.89
2010,308768.95
2011,323135.69
2012,328127.24
2013,356356.43
2014,385178.3
2015,405811.76
2016,436078.81
2017,468045.33
2018,531109.87
2019,610458.55
2020,669744.3
