,研究与试验发展经费支出:工业企业,研究与试验发展经费支出:企业:工业企业,研究与试验发展人员:企业:大中型工业企业,研究与试验发展经费支出:企业:工业企业:大中型
区域,中国,中国,中国,中国
次国家,,,,
频率,"年, 年终12月","年, 年终12月","年, 年终12月","年, 年终12月"
单位,百万人民币,百万人民币,千人,百万人民币
数据来源,国家统计局,国家统计局,国家统计局,国家统计局
状态,继续,继续,继续,继续
数列ID,133847101 (COCDGO),133847101 (COCDGO),133848301 (COCDHA),472235817 (CSACKQ)
SR码,SR6887772,SR1607233,SR1607071,SR155046377
贸易代码,,,,
助记符,,,,
函数说明,,,,
首次观测日期,2004,2004,1995,1995
最后观测日期,2022,2022,2022,2022
最后更新时间,10/01/2024,10/01/2024,17/10/2023,17/10/2023
数列备注,,,,
建议,,,,
平均,1005101.4267333335,1005101.4267333335,1203.6196428571434,447056.2197857144
方差,281730280110.02203,281730280110.02203,632068.8443859421,184156396169.58514
标准差,530782.7051722974,530782.7051722974,795.027574607285,429134.47329431033
偏度,0.03278837397978302,0.03278837397978302,0.18174610924810644,0.6259787191357845
峰度,-0.6738695240724248,-0.6738695240724248,-1.6343780919504451,-0.9599928744693766
变异系数,0.5280886993637917,0.5280886993637917,0.6605305748583951,0.9599116493670652
最小,110450,110450,270.3,14170
最大,1936176.174,1936176.174,2620.735,1356859.6
中位数,1001393.298,1001393.298,1086.7404999999999,294577.0475
总和 SUM,15076521.401,15076521.401,33701.35,12517574.154
减 SUBTRACT,-1825726.174,-1825726.174,-2350.435,-1342689.6
参照期间,15,15,28,28
1995,,,281.8,14170
1996,,,338.4,16050
1997,,,321.7,18830
1998,,,270.3,19710
1999,,,303,24990
2000,,,329.4,35338.73
2001,,,379.3,44234.96
2002,,,424.3,56017.18
2003,,,478.1,72077.49
2004,110450,110450,438.165,95449.05
2005,,,606.376,125029.18
2006,,,695.668,163019.094
2007,,,857.65,211245.605
2008,307313.028,307313.028,1014.223,268131.095
2009,377570,377570,1159.258,321023
2010,,,1369.908,401539.652
2011,599380.545,599380.545,1587.165,503069.602
2012,720064.504,720064.504,1818.585,599232.37
2013,831840.048,831840.048,1976.736,674406.456
2014,925425.87,925425.87,2037.661,731969.231
2015,1001393.298,1001393.298,1985.983,779244.099
2016,1094465.856,1094465.856,1964.441,828946.315
2017,1201295.885,1201295.885,1931.419,897618.748
2018,1295482.637,1295482.637,2016.465,954269.474
2019,1397109.894,1397109.894,1996.171,999693.038
2020,1527129.049,1527129.049,2145.958,1077226.927
2021,1751424.613,1751424.613,2352.483,1228183.258
2022,1936176.174,1936176.174,2620.735,1356859.6
