,财政支出:一般公共预算支出:科学技术
区域,中国
次国家,
频率,月
单位,十亿人民币
数据来源,财政部
状态,继续
数列ID,136478701 (CFAEGT)
SR码,SR1724991
贸易代码,
助记符,
函数说明,
首次观测日期,01/2007
最后观测日期,03/2024
最后更新时间,22/04/2024
数列备注,
建议,
平均,52.44744791666662
方差,1893.0282880600992
标准差,43.50894492009774
偏度,2.0016310801764274
峰度,5.4170976707187535
变异系数,0.8295722031933527
最小,2.98
最大,263
中位数,41.6095
总和 SUM,10069.910000000002
减 SUBTRACT,-260.02
参照期间,192
01/2007,3.63
02/2007,2.98
03/2007,5.67
04/2007,5.64
05/2007,7.58
06/2007,15.97
07/2007,15.67
08/2007,7.51
09/2007,26.76
10/2007,9.57
11/2007,16.42
12/2007,60.904
01/2008,4.3
02/2008,5.3
03/2008,6.68
04/2008,9.02
05/2008,11.13
06/2008,21.46
07/2008,24.28
08/2008,10.77
09/2008,22.57
10/2008,15.98
11/2008,13.34
12/2008,68.091
01/2009,5.97
02/2009,6.67
03/2009,8.98
04/2009,13.399
05/2009,11.719
06/2009,44.222
07/2009,17.333
08/2009,16.599
09/2009,23.728
10/2009,12.809
11/2009,27.231
12/2009,69.125
01/2010,4.747
02/2010,14.703
03/2010,16.558
04/2010,27.842
05/2010,27.845
06/2010,49.883
07/2010,18.114
08/2010,21.654
09/2010,34.428
10/2010,30.749
11/2010,25.172
12/2010,33.523
03/2011,25.539
04/2011,34.436
05/2011,18.008
06/2011,55.213
07/2011,18.742
08/2011,15.631
09/2011,38.431
10/2011,26.219
11/2011,39.043
12/2011,88.226
01/2012,21.714
02/2012,20.202
03/2012,22.913
04/2012,23.456
05/2012,38.312
06/2012,42.208
07/2012,53.011
08/2012,20.086
09/2012,40.473
10/2012,26.219
11/2012,34.49
01/2013,20.679
02/2013,13.845
03/2013,29.621
04/2013,40.504
05/2013,52.208
06/2013,43.578
07/2013,25.069
08/2013,19.754
09/2013,45.738
10/2013,30.554
11/2013,60.109
12/2013,124.641
01/2014,21.915
02/2014,11.404
03/2014,32.98
04/2014,43.655
05/2014,46.9
06/2014,47.281
07/2014,25.816
08/2014,24.425
09/2014,41.488
10/2014,39.355
11/2014,40.094
12/2014,150.087
01/2015,14.084
02/2015,19.893
03/2015,34.269
04/2015,44.344
05/2015,36.894
06/2015,62.484
07/2015,49.642
08/2015,28.266
09/2015,59.153
10/2015,47.049
11/2015,59.667
12/2015,125.965
01/2016,17.314
02/2016,23.815
03/2016,38.093
04/2016,47.356
05/2016,34.778
06/2016,75.378
07/2016,39.747
08/2016,46.446
09/2016,75.506
10/2016,31.711
11/2016,95.43
12/2016,131.226
01/2017,26.489
02/2017,27.375
03/2017,64.41
04/2017,43.681
05/2017,41.266
06/2017,87.323
07/2017,50.755
08/2017,39.647
09/2017,85.084
10/2017,47.583
11/2017,69.972
12/2017,145.015
01/2018,24.482
02/2018,55.639
03/2018,59.245
04/2018,41.731
05/2018,59.805
06/2018,123.49
07/2018,31.753
08/2018,42.485
09/2018,105.248
10/2018,31.859
11/2018,97.274
12/2018,159.189
03/2019,78.3
04/2019,74.6
05/2019,60.6
06/2019,116.1
07/2019,38.5
08/2019,39.1
09/2019,96.1
10/2019,37.3
11/2019,94.3
12/2019,220
03/2020,69.5
04/2020,83.3
05/2020,58.7
06/2020,103.6
07/2020,48.6
08/2020,45.6
09/2020,97.4
10/2020,51.2
11/2020,81.6
12/2020,201.1
03/2021,74.1
04/2021,66.9
05/2021,49.4
06/2021,103
07/2021,42.3
08/2021,52.7
09/2021,106.5
10/2021,73.6
11/2021,95.5
12/2021,226.8
03/2022,95.9
04/2022,67
05/2022,55.9
06/2022,126.9
07/2022,62.8
08/2022,64.1
09/2022,90.2
10/2022,50.9
11/2022,82.7
12/2022,217.1
03/2023,109.8
04/2023,72.2
05/2023,59.9
06/2023,111
07/2023,52.4
08/2023,53.1
09/2023,122.2
10/2023,61.5
11/2023,84.9
12/2023,263
03/2024,92.3
