序号,题目,作者,来源,发表时间,被引,下载
1,先进人工智能技术在新药研发中的应用,汪忠华;吴亦初;吴中山;朱冉冉;杨阳,化学进展,2023-10-24,1,687
5,人工智能算法在网络空间安全中的应用:技术与现状综述（英文）,陈捷;武丹丹;谢瑞云,Frontiers of Information Technology & Electronic Engineering,2023-08-03,,668
6,人工智能方法照亮基因编辑技术新发展（英文）,杨力;陈佳,Science Bulletin,2023-12-15,,114
7,人工智能预测正畸面部变化的研究进展和准确度：概况性系统综述（英文）,朱嘉珺;杨昱新;王海明,Journal of Zhejiang University-Science B(Biomedicine & Biotechnology),2023-11-03,,160
8,智能制造——比较性综述与研究进展 OA,王柏村;陶飞;方续东;刘超;刘宇飞,Engineering,2021-06-15,59,2650
9,人工智能在石油勘探开发领域的应用现状与发展趋势,匡立春;刘合;任义丽;罗凯;史洺宇,石油勘探与开发,2020-12-30 14:58,189,8549
10,医学影像世界的人工智能:挑战与机遇（英文）,薛华丹;胡歌;洪楠;Nicholas Reed Dunnick;金征宇,Science Bulletin,2023-04-15,2,348
11,工业人工智能驱动的流程工业智能制造 OA,杨涛;易新蕾;卢绍文;Karl H.Johansson;柴天佑,Engineering,2021-09-15,32,1393
12,“机器微纳光学科学家”:人工智能在微纳光学设计的应用与发展,侯晨阳;孟凡超;赵一鸣;丁进敏;赵小艇,物理学报,2023-04-12 12:02,,391
13,利用人工智能预测癌症的易感性、复发性和生存期,高美虹;尚学群,生物化学与生物物理进展,2022-02-10 14:05,11,2365
14,石墨烯基人工智能柔性传感器,姜鸿基;王美丽;卢志炜;叶尚辉;董晓臣,化学进展,2022-05-05 11:07,5,1881
15,高通量自动流程集成计算与数据管理智能平台及其在合金设计中的应用,王冠杰;李开旗;彭力宇;张壹铭;周健,金属学报,2021-12-24,11,825
16,物理人工智能：下一代人工智能（英文）,李颖博;李朝;段玉聪;Anamaria-Beatrice SPULBER,Frontiers of Information Technology & Electronic Engineering,2023-08-03,,119
17,金融大脑2.0:当金融遇到可信人工智能（英文）,周俊;陈超超;李龙飞;张志强;郑小林,Frontiers of Information Technology & Electronic Engineering,2022-12-03,1,457
18,大数据人工智能下的多重知识表达：框架、应用及案例研究（英文）,杨易;庄越挺;潘云鹤,Frontiers of Information Technology & Electronic Engineering,2021-12-03,15,775
19,跨越人工智能在精神疾病临床应用中的鸿沟（英文）,陆唐胜;刘晓星;孙杰;鲍彦平;Bj?rn W.Schuller,Science Bulletin,2023-08-15,,91
20,遗传算法与分组数据处理神经网络相结合的人工智能预测盾构掘进过程中滚刀的寿命 OA,Khalid Elbaz;沈水龙;周安楠;尹振宇;吕海敏,Engineering,2021-02-15,19,605
21,人工智能与多组学时代基于生物网络的肿瘤精准防治（英文）,张鹏;汪博洋;李梢,Science Bulletin,2023-06-30,,138
22,人工智能在化学逆合成中的应用（英文） OA,Yinjie Jiang;Yemin Yu;Ming Kong;Yu Mei;Luotian Yuan,Engineering,2023-06-15,2,99
23,人工智能在临床肿瘤学中的研究现状及展望（英文）,江玉明;李瑞江;李国新,Science Bulletin,2023-03-15,,184
24,从计算机科学理论审视意识和通用人工智能（英文） OA,Lenore Blum;Manuel Blum,Engineering,2023-06-15,,132
25,基于人工智能技术的无人机遥感探测具有感染松材线虫病特征的树木 OA,Mutiara Syifa;Sung-Jae Park;Chang-Wook Lee,Engineering,2020-08-15,23,585
26,从脑科学到人工智能 OA,范静涛;方璐;吴嘉敏;郭雨晨;戴琼海,Engineering,2020-03-15,23,1494
27,基于Wasserstein GAN的新一代人工智能小样本数据增强方法——以生物领域癌症分期数据为例 OA,刘宇飞;周源;刘欣;董放;王畅,Engineering,2019-02-15,54,1449
28,人工智能新方向：类人、机器、仿生和量子智能（英文）,李伟钢;Liriam Michi ENAMOTO;Denise Leyi LI;Geraldo Pereira ROCHAFILHO,Frontiers of Information Technology & Electronic Engineering,2022-06-03,4,545
29,中国人工智能的伦理原则及其治理技术发展 OA,吴文峻;黄铁军;龚克,Engineering,2020-03-15,18,812
30,生成式人工智能的惊人进展引发惊讶和担忧（英文） OA,Dana Mackenzie,Engineering,2023-06-15,,105
31,用于研究纤维尾砂胶结充填材料单轴压缩性能的新型人工智能模型（英文）,喻智;史秀志;陈新;周健;齐冲冲,Transactions of Nonferrous Metals Society of China,2021-04-25,9,356
32,人工智能在过程工业绿色制造中的机遇与挑战 OA,毛帅;王冰;唐漾;钱锋,Engineering,2019-12-15,24,626
33,医疗保健中的人工智能——综述与预测性案例研究 OA,荣国光;Arnaldo Mendez;Elie Bou Assi;赵博;Mohamad Sawan,Engineering,2020-03-15,14,732
34,基于精神影像和人工智能的抑郁症客观生物学标志物研究进展,孙也婷;陈桃林;何度;董再全;程勃超,生物化学与生物物理进展,2019-07-26 17:21,24,1927
35,基于流线聚类人工智能方法的水驱油藏流场识别,贾虎;邓力珲,石油勘探与开发,2018-01-15 09:26,38,1036
36,"“暗”,不止于“深”——迈向认知智能与类人常识的范式转换 OA",朱毅鑫;高涛;范丽凤;黄思远;Mark Edmonds,Engineering,2020-03-15,10,901
37,人工智能助力当代化学研究,朱博阳;吴睿龙;于曦,化学学报,2020-08-24 15:18,6,1920
38,人工智能重构全球风速栅格数据集（英文）,周俐宏;刘浩锋;江鑫;Alan D.Ziegler;Cesar Azorin-Molina,Science Bulletin,2022-10-30,1,113
39,人工智能在空间碎片对航天器损伤评估中的应用（英文）,包为民;殷春;黄雪刚;易伟;Sara DADRAS,Frontiers of Information Technology & Electronic Engineering,2022-04-03,1,349
40,人工智能在微流控系统中的应用,王宇;方群,分析化学,2020-04-13,8,1101
41,智能无人系统：新一代人工智能重要成果及其应用,吴澄;张涛,Frontiers of Information Technology & Electronic Engineering,2020-05-03,13,828
42,迈向更通用赋能的人工智能（英文） OA,吕跃广;吴飞,Engineering,2023-06-15,,74
43,量子人工智能中的对抗学习,沈培鑫;蒋文杰;李炜康;鲁智德;邓东灵,物理学报,2021-06-02 15:59,3,865
44,智慧社会与人工智能——用于智能维护的大数据调度和全球标准方法 OA,Ruben Foresti;Stefano Rossi;Matteo Magnani;Corrado Guarino Lo Bianco;Nicola Delmonte,Engineering,2020-07-15,8,410
45,人工智能在智能制造领域的应用研究（英文）,Bo-hu LI;Bao-cun HOU;Wen-tao YU;Xiao-bing LU;Chun-wei YANG,Frontiers of Information Technology & Electronic Engineering,2017-01-03,112,4203
46,网络安全遇上人工智能:综述（英文）,Jian-hua LI,Frontiers of Information Technology & Electronic Engineering,2018-12-03,21,2118
47,人工智能与无线通信（英文）,王俊;李榕;王坚;葛屹群;张其蕃,Frontiers of Information Technology & Electronic Engineering,2020-10-03,5,762
48,人工智能赋能流程制造 OA,钱锋,Engineering,2021-09-15,3,413
49,人工智能破解生物学50年来的一个重大挑战 OA,Sean O'Neill,Engineering,2021-06-15,3,885
50,从智能科学到智能制造 OA,Lihui Wang,Engineering,2019-08-15,16,418
51,介尺度中的复杂性——人工智能发展中的共性挑战 OA,郭力;邬俊;李静海,Engineering,2019-10-15,10,382
52,一种基于人工智能的星图识别算法（英文）,王昊;王志远;王本冬;于卓群;金仲和,Frontiers of Information Technology & Electronic Engineering,2020-11-03,5,455
53,人工智能在岩土工程中的实践（英文）,Zhen-yu YIN;Yin-fu JIN;Zhong-qiang LIU,Journal of Zhejiang University-Science A(Applied Physics & Engineering),2020-06-03,5,1201
54,蒸汽裂解建模中的人工智能——详细流出物预测深度学习算法 OA,Pieter P.Plehiers;Steffen H.Symoens;Isma?l Amghizar;Guy B.Marin;Christian V.Stevens,Engineering,2019-12-15,17,105
55,人工智能发明目前无法申请专利 OA,Erika K.Carlson,Engineering,2020-11-15,5,226
56,人工智能增强型媒体——我们还能相信新闻吗? OA,Ramin Skibba,Engineering,2020-07-15,6,255
