序号,题目,作者,来源,发表时间,发表类别,被引,下载
1,人工智能在制药行业的应用进展,万宇;郑维恒;蒋阅;赵祥伟,药学进展,2023-10-25,期刊,,500
2,人工智能在医药领域的应用与挑战,柴人杰;滕皋军,药学进展,2023-10-25,期刊,,1021
3,AI制药：行业方兴未艾 应用端百花齐放,王柄根,股市动态分析,2023-12-23,期刊,,214
5,"英矽智能:“AI”加速制药,大模型蓄力“AI”",李冲,华东科技,2023-12-05,期刊,,93
7,AI制药产业发展瓶颈和对策,郭旭;王钤,中国科技产业,2023-07-15,期刊,,482
8,人工智能驱动的药品灯检技术,,流程工业,2023-12-13,期刊,,79
9,人工智能下的医药企业财务共享研究——以辉瑞制药为案例,盛代婷,东北财经大学,2022-04-01,硕士,1,1250
10,药物研发领域人工智能应用与创新发展策略探讨,茅鸯对;柳鹏程,中国新药与临床杂志,2021-05-13 15:25,期刊,8,2126
11,人工智能制药助力我国医药产业创新发展,彭茜;林苗苗;黄筱,经济参考报,2022-09-07,报纸,1,913
12,首款AI研制药品进入人体临床试验：争议仍存，前景几何,唐唯珂;李仪,21世纪经济报道,2023-06-29,报纸,,146
13,破晓过后，初日照林 中国人工智能+医疗与生命科学行业研究报告,,艾瑞咨询系列研究报告（2021年第11期）,2021-11-01,中国会议,2,1068
14,在“高地”上加速接近研发“奇点”,刘惠宇,解放日报,2023-09-04,报纸,,42
15,AI背景下高职院校制药专业设置探讨,王彬;李伟威;姜辉,山东畜牧兽医,2022-03-24,期刊,,173
16,人工智能应用背景下高职院校制药类人才培养探究,姜辉;姜桂娟,辽宁农业职业技术学院学报,2021-11-15,期刊,,184
17,人工智能算法在管理会计道德伦理中的应用,Waymond Rodgers;Salem Al Fayi;Hussen Al-Refiay;James Murray;戴婷婷,中国管理会计,2020-03-15,期刊,1,655
18,药物开发中的AI现状,杨蓉,计算机与网络,2018-12-12,期刊,2,759
21,浅析专家系统在实现中药智能制造中的作用与地位,余雅婷;赵立杰;杜若飞;王优杰;沈岚,世界科学技术-中医药现代化,2020-03-31,期刊,11,693
22,物理学科类·本科批次,本刊编辑一部;李晓倩;艾欣,招生考试通讯(高考版),2022-12-01,特色期刊,,56
23,人工智能是必经之路,Stefan Pauli;Wolfgang K?ck,流程工业,2022-08-20,期刊,,298
24,辉瑞制药善存品牌产品数据驱动互联网营销策略优化方案研究,陈竺,上海外国语大学,2018-12-01,硕士,9,855
