序号,题目,作者,来源,发表时间,发表类别,被引,下载
1,生成式人工智能大模型赋能的元宇宙生命体：前瞻和挑战,王皓;潘昱杉;潘毅,大数据,2023-06-13 10:36,期刊,3,943
2,人工智能在医药领域的应用与挑战,柴人杰;滕皋军,药学进展,2023-10-25,期刊,,1021
3,基于人工智能的医学图像多器官分割及其在医药领域的应用,吕朋举;王澄;朱建军;陆建;朱海东,药学进展,2023-10-25,期刊,,300
4,面向多维生物医药数据整合挖掘的人工智能关键算法与应用研究,文昱琦,军事科学院,2023-05-31,博士,1,634
5,人工智能技术的学科多样性及其与生物医药领域的融合发展,蔡永莲;彭颢舒,上海理工大学学报(社会科学版),2023-09-15,期刊,1,636
6,生成式人工智能在生物医药自动化领域应用展望,刘泊伟,中国信息化,2023-11-20,期刊,,354
7,生物医药创新体系发展策略研究,崔蓓,军事科学院,2022-06-13,博士,8,5855
9,新冠疫情下生物医药行业发展机遇研究,袁芳;苑朋彬;郑彦宁,全球科技经济瞭望,2022-11-30,期刊,7,1200
10,人工智能在生物医药领域中的应用和进展,言方荣,中国药科大学学报,2023-05-09 08:52,期刊,2,2492
11,“人工智能+医药”产业现状和趋势,张静;段勃;赵宇,中国食品药品监管,2023-04-15,期刊,1,466
12,医药零售物流中的技术及解决方案创新——访浙江凯乐士科技集团股份有限公司副总裁、人工智能研究院院长白红星,赵皎云,物流技术与应用,2023-11-10,期刊,,47
13,医药类App适老化设计中人工智能技术的融入研究,胡辉;杨帆,电脑知识与技术,2023-04-25,期刊,1,181
14,人工智能技术在医药研发中的应用,刘伯炎;王群;徐俐颖;褚淑贞,中国新药杂志,2020-09-15,期刊,19,2945
15,上海进一步优化三大先导产业投资的若干建议,张亚军;徐亮;石金海,科学发展,2022-08-20,期刊,2,296
16,人工智能下的医药企业财务共享研究——以辉瑞制药为案例,盛代婷,东北财经大学,2022-04-01,硕士,1,1250
17,人工智能制药助力我国医药产业创新发展,彭茜;林苗苗;黄筱,经济参考报,2022-09-07,报纸,1,913
18,人工智能加速与医药创新融合,龚雯;杜康,经济参考报,2023-08-02,报纸,,108
19,基于大数据和人工智能的新型医药物流体系构建,陈心媛;廖吉林,物流科技,2021-03-10,期刊,10,881
20,看见新蓝海 探索新未来,宋亦敏;吴桦真,福州日报,2023-07-24,报纸,,35
21,近六年来国内关于人工智能法律规制的研究述评——基于CSSCI来源期刊论文的分析,陶林,青岛科技大学学报(社会科学版),2021-06-15,期刊,4,883
22,医药健康领域的国家人工智能战略发展规划比较研究,李莹莹;张建楠;顾宴菊;朱烨琳;何前锋,中国工程科学,2019-12-15,期刊,11,574
23,硬科技投资正迎黄金时代,孙奇茹,北京日报,2023-02-24,报纸,,54
24,人工智能在医药领域中的重要作用及展望,杨瑞奇,科技经济市场,2022-01-15,期刊,,660
25,高校医药经管类专业人才“人工智能+教育”实践教学探析,颜涛;宋一蓓,成都中医药大学学报(教育科学版),2022-06-28,期刊,1,97
26,上海黄浦进一步发力科创产业,邱爱荃,中国经济导报,2023-03-09,报纸,,38
27,持续强化高端产业引领功能 积极布局未来发展新赛道,姜晓凌,上海科技报,2022-09-16,报纸,,85
28,“头雁”引领，上海产业经济振翅高飞,张懿,文汇报,2022-10-16,报纸,,67
29,上海三大新兴重点产业发展布局分析,周弋,统计科学与实践,2021-06-25,期刊,1,234
