序号,题目,作者,来源,发表时间,发表类别,被引,下载
1,人工智能在临床护理领域应用中的伦理困境及对策,苏秦;王艳波,医学与哲学,2023-12-20,,,452
2,孟超肝病外脑2.0在人工智能临床诊疗领域的应用初探,李海涛;刘红枝;方国旭;郭鹏飞;陈振伟,临床肝胆病杂志,2023-12-18,,,283
3,智慧医疗民事责任的内容革新与赔偿优化,蔡大顺,江汉论坛,2023-12-15,,,421
4,人工智能在感染伤口管理中的应用进展,彭雨馨;付光蕾,军事护理,2023-12-15,,1,840
5,爱思唯尔学术出版集团分析与决策工具类业务发展模式研究,张晓菲,出版发行研究,2023-12-15,,1,159
6,穿戴式心电监测中的AI计算,王星尧;李茜;马彩云;张铄;林钰洁,生物医学工程学杂志,2023-12-14 11:06,,,432
7,中国养老服务的人力资源困境与智能养老选择,张思锋;张泽滈,西安交通大学学报(社会科学版),2023-12-12 11:59,,1,3115
21,健康中国背景下人工智能促进体育与医疗的融合发展研究,王刚;林俐;乔凤杰,中国体育科技,2022-10-15,,5,1138
22,刑事合规视角下医疗人工智能算法管理体系建构,霍俊阁,医学与社会,2023-07-10,,,343
23,智慧医疗的伦理和法律问题及其应对策略,梅春英;王菡;李晓军;于平,中国医院管理,2023-03-05,,2,1369
24,交互与共享：人工智能医疗决策的伦理向度,梁璐,医学与哲学,2023-05-20,,1,617
25,医疗领域人工智能应用的研究进展,任相阁;任相颖;李绪辉;曾宪涛;訾豪,世界科学技术-中医药现代化,2022-03-25 11:41,,11,4733
26,医疗大数据分析技术研究进展,杜志成;张志杰;姜庆五,中国血吸虫病防治杂志,2022-11-14 14:43,,4,2025
27,健康中国战略下保险科技赋能商业健康保险发展研究,胡芳;彭琛;陈小红,西南金融,2021-06-01 16:20,,40,2918
28,人工智能病理在肿瘤精准医疗时代的应用与挑战,平轶芳;闫红;卞修武,生命科学,2022-08-15,,7,1225
29,人工智能视域下医疗事故罪的适用嬗变与调适,霍俊阁,中国人民公安大学学报(社会科学版),2023-04-15,,,569
30,“人工智能+医疗”新兴技术识别研究——以医疗机器人为例,任佳妮;张薇;杨阳;龚娟;钱虹,情报杂志,2021-11-08 15:24,,22,4462
31,智慧医疗的价值优势、伦理问题与可能出路,刘振;张宗明,医学与哲学,2023-07-05,,,277
32,医疗人工智能算法风险防范的法治化思考,徐着雨;岳远雷,医学与哲学,2023-06-05,,,459
33,医疗人工智能对知情同意的挑战与应对,彭运朋;徐毅华,医学与哲学,2023-05-20,,,490
34,医疗人工智能临床应用的伦理审视,李锟鹏;杨海秀,医学与哲学,2023-04-05,,2,1088
35,医疗人工智能侵权行为法律规制研究,谈在祥;蒋雨彤,医学与哲学,2022-07-20,,6,978
36,发达国家人工智能养老战略与政策及其对中国的启示,徐智华;苏炜杰,经济体制改革,2021-09-25,,18,2830
37,基于价值嵌入的医疗人工智能伦理规制研究,汪琛;孙启贵;徐飞,中国科技论坛,2022-08-05,,3,1251
38,人工智能医疗器械临床试验设计与实施的挑战与对策,龙囿霖;王心怡;郭琼;林逸飞;黄进,中国循证医学杂志,2022-12-25,,3,726
39,基于利益相关者理论的人工智能医疗技术临床应用评估需求分析,李清;邱英鹏;吴迪;王健;史黎炜,中国卫生经济,2023-05-05,,1,380
40,人工智能刑事主体地位的否定及实践展开——兼评“反智化批判”与“伪批判”之争,陈洪兵,社会科学辑刊,2021-11-15,,17,1393
41,医疗情感计算应用的多维困境及其法治实现,岳远雷;徐着雨,医学与哲学,2022-10-05,,7,324
42,论医疗人工智能的刑法问题,皮勇,法律科学(西北政法大学学报),2020-11-30 10:31,,26,2269
43,口腔医学领域人工智能研究前沿和热点分析,唐莉;徐欣;廖玍,中国循证医学杂志,2022-06-25,,4,1350
44,人工智能的发展及应用,李晓理;张博;王康;余攀,北京工业大学学报,2020-06-10,,112,6570
45,医疗人工智能前沿研究：特征、趋势以及规制,周文康;费艳颖,医学与哲学,2021-10-05,,13,2140
46,医疗人工智能发展现状及展望,朱文珍;吕文志,放射学实践,2022-01-20,,14,2014
47,基于专利计量的全球人工智能技术在医疗健康领域应用发展态势分析,陈欣然;李国正;崔一迪;夏秋芳;王明强,科技管理研究,2021-02-10,,28,1212
48,医联网与智慧医疗健康管理,杨善林;范先群;丁帅;顾东晓;李霄剑,管理科学,2021-11-20,,12,2764
49,人工智能在医疗产业发展的经济法规制,肖艺能,山西财经大学学报,2023-04-28,,,333
50,医疗人工智能临床应用中医生告知义务的触发条件与衔接机制,李润生,深圳大学学报(人文社会科学版),2023-01-10,,2,467
51,技术驱动的管理科学与工程研究,李建平;吴登生;郝俊,中国管理科学,2022-05-15,,4,1555
52,数字健康技术与商业健康保险的发展,李玉华,金融理论与实践,2020-12-08 14:38,,30,1442
53,人工智能应用于眼科的积极作用及其伦理问题,王妍茜;王成虎;张竞月;徐曼华;彭正虹,国际眼科杂志,2022-06-07,,5,866
54,《人工智能与医疗》出版：浅析人工智能在医学诊断和治疗中的应用,许明,介入放射学杂志,2023-05-25,,1,1391
55,人工智能时代老年健康管理的重塑与聚合,向运华;王晓慧,武汉大学学报(哲学社会科学版),2020-03-06,,42,2974
56,人工智能在医疗领域的应用与思考,王笛;赵靖;金明超;刘婧;熊伟,中国医院管理,2021-06-05,,14,3492
57,论医疗人工智能的法律规制——从近期方案到远期设想,李润生,行政法学研究,2020-07-16 14:31,,27,1635
58,重大疫情治理中人工智能的价值属性与隐私风险——兼谈隐私保护的刑法路径,闫立;吴何奇,南京师大学报(社会科学版),2020-03-20,,54,4566
59,人工智能聊天机器人是否会被批准为医疗设备,本刊讯,数据分析与知识发现,2023-09-25,,,222
60,人工智能医疗影像诊断侵权损害赔偿法律问题,何炼红;王志雄,政治与法律,2020-03-05,,27,2244
61,医疗人工智能临床应用的法律挑战及应对,刘建利,东方法学,2019-08-13 14:06,,60,2739
62,人工智能系统在外来医疗器械交接中应用效果的多中心研究,郝艳丽;代红红;孙远;高玉华,中华医院感染学杂志,2023-01-18,,2,393
63,医疗人工智能侵权责任法律问题研究,王轶晗;王竹,云南师范大学学报(哲学社会科学版),2020-05-15,,30,2616
