序号,题目,作者,来源,发表时间,发表类别,被引,下载
7,诊疗人工智能的医疗损害责任,郑志峰,中国法学,2023-02-07 11:37,期刊,20,3998
11,人工智能与机器人辅助医学发展研究,韩晓光;朱小龙;姜宇桢;何达;刘文勇,中国工程科学,2023-08-03 10:19,期刊,4,2417
12,医疗人工智能伦理研究的发展趋势——主题分布、知识基础与未来展望,汪琛;孙启贵;徐飞,自然辩证法通讯,2023-11-15,期刊,,1959
14,智慧医学的意义解读、风险研判及其防范路径,黄成华,中国医学伦理学,2023-12-12,期刊,,457
18,智慧医疗民事责任的内容革新与赔偿优化,蔡大顺,江汉论坛,2023-12-15,期刊,,421
19,迈入人工智能新时代:ChatGPT在智慧医疗应用场景研究与思考,吴英华;罗家锋;林成创,数据通信,2023-08-28,期刊,3,1437
20,人工智能在医疗质量管理中应用现状和效果范围综述,曾华堂;柯夏童;伍丽群;索靖东,中国医院管理,2023-08-05,期刊,4,893
21,ChatGPT在医疗领域中的应用、伦理风险与治理研究,邹文卿;沈昊创,医学与哲学,2023-11-05,期刊,1,392
22,基于新一代人工智能技术(ChatGPT)的数字经济发展研究,张夏恒,长安大学学报(社会科学版),2023-02-23 09:08,期刊,9,4704
23,大规模生成式语言模型在医疗领域的应用：机遇与挑战,肖仰华;徐一丹,医学信息学杂志,2023-09-25,期刊,1,1200
24,人工智能时代完善个人医疗信息法律保护的研究,张思梦;霍增辉,中国卫生法制,2023-11-08,期刊,,678
26,平行医生与平行医院：ChatGPT与通用人工智能技术对未来医疗的冲击与展望,王飞跃,协和医学杂志,2023-05-25 13:42,期刊,8,1781
27,论医疗人工智能诊疗中医师违反注意义务的损害责任,朱姝尧;刘建利,医学与社会,2023-10-10,期刊,,775
29,健康医疗大数据在儿童健康管理方面的应用与前景,韩伟鹏;雷毅;尹小梅;陈艳杰;杨吉江,中国卫生信息管理杂志,2023-08-20,期刊,1,785
30,区块链与人工智能技术的协同创新与商业化前景研究,玛天羽,中国商论,2023-11-23,期刊,,527
31,我国人工智能医疗技术定义和分类思考,邱英鹏;吴迪;肖月;刘克军;史黎炜,医学信息学杂志,2023-10-25,期刊,,761
32,人工智能赋能互联网医疗高质量发展研究,单丽瑶;陈冰君;郭云贵,海峡科技与产业,2023-12-25,期刊,,287
33,我国人工智能医疗技术临床应用评估指南研究与应用,刘克军;肖月;邱英鹏;史黎炜;田雪晴,医学信息学杂志,2023-10-25,期刊,,618
34,医疗人工智能的信任问题及规避路径,冯君妍,阅江学刊,2023-09-28,期刊,1,594
35,国内外医疗机器人发展现状及趋势,黎文娟;马泽洋;曾磊;李陈;董凯,机器人产业,2022-11-25,期刊,13,4859
36,我国实施智能养老战略的现状、经验与措施,苏炜杰,科学学研究,2023-02-28 09:16,期刊,4,3929
37,人工智能在医药领域的应用与挑战,柴人杰;滕皋军,药学进展,2023-10-25,期刊,,1021
38,大模型人工智能技术在医疗服务领域应用的专家共识,夏光辉;曹艳林;陈炳澍;查滨,中国卫生法制,2023-09-10,期刊,2,1165
39,行业标准《人工智能医疗器械 质量要求和评价 第3部分:数据标注通用要求》解析,郝烨;王浩;李佳戈,协和医学杂志,2023-11-30,期刊,,275
40,医疗资源均衡布局背景下人工智能影像管理路径体系价值探讨,李晓婷;张晓燕;孙应实;崔湧;杨铮,中国医院管理,2023-12-05,期刊,,297
41,行业标准《人工智能医疗器械 质量要求和评价 第1部分：术语》解析,孟祥峰;王浩;李佳戈,协和医学杂志,2023-10-07 15:58,期刊,,404
42,场景驱动视角下我国智能医疗产业演化研究,叶选挺;马诗敏;王宇;李京晏;张剑,科技进步与对策,2023-07-11 11:40,期刊,,897
43,保险科技背景下商业健康保险产品发展问题研究,杨宇鹏,兰州财经大学,2023-06-12,硕士,,1006
44,医疗人工智能：知识引导与数据挖掘联合驱动,巫嘉陵;韩建达,中国现代神经疾病杂志,2023-01-25,期刊,9,1024
45,医疗人工智能的侵权责任,王耀君,天津师范大学,2023-06-07,硕士,,885
46,智能医疗机器人侵权责任问题研究,刘惠明;张盛楠,医学与社会,2022-12-10,期刊,6,2216
47,人工智能浪潮下医疗护理的挑战与前景,卢灿娘,闽西职业技术学院学报,2023-09-28,期刊,,517
48,人工智能技术在医疗系统中的应用,陈美伊,电子技术,2023-09-20,期刊,,1081
49,人工智能产品侵权责任问题研究,周益闻,安徽财经大学,2023-06-01,硕士,,832
50,医疗领域中人工智能应用的可解释性困境与治理,张姝艳;皮婷婷,医学与哲学,2023-02-05,期刊,6,1460
51,医学人工智能新基建的应用发展研究,刘泓泽;刘迷迷;唐圣晟;刘京晶;廖芝美,中国数字医学,2023-08-15,期刊,1,615
52,医学人工智能发展态势分析及问题浅析,申喜凤;李美婷;南嘉乐;张维宁;孙媛媛,科技管理研究,2023-04-10,期刊,2,1395
53,行业标准《人工智能医疗器械 质量要求和评价 第2部分：数据集通用要求》解析,王浩;孟祥峰;郝烨;李佳戈;李静莉,协和医学杂志,2023-11-30,期刊,,202
54,我国医疗人工智能侵权规制的演进、特征及难点探析,陈欣;金权,《上海法学研究》集刊2023年第6卷——2023年世界人工智能大会青年论坛论文集,2023-06-12 17:45,中国会议,1,841
55,人工智能医疗器械的医疗侵权责任问题研究,席学志,秦智,2023-11-15,期刊,,263
56,从远程医疗到互联网+人工智能（AI）医疗看医疗数字化的演进,魏东海;Steven Stumpf;Louis Rubino;曹晓雯;田军章,中国研究型医院,2022-10-15,期刊,8,2718
57,基于5G SA定制网的心脑血管疾病远程大数据传输与智能诊断研究,刘浩;李焕明;魏星;王晓光,信息系统工程,2023-11-15,期刊,,249
58,基于人工智能的高血压性脑出血医疗文本信息自动识别系统,夏宇隆;蒋理;但炜;谢延风;邓博,重庆医科大学学报,2023-10-07 13:16,期刊,,264
59,人工智能医疗器械性能评价通用方法专家共识(2023),浙江大学;中国食品药品检定研究院;海军军医大学第二附属医院,协和医学杂志,2023-05-16 14:49,期刊,1,625
60,AI大模型时代 郑州要如何发力,郭晓霞;刘玲;楚舒淇,河南商报,2023-12-19,报纸,,197
61,医疗人工智能侵权责任研究,高蓝,兰州大学,2023-05-01,硕士,,855
62,人工智能应用场景的成熟度评价研究,李梦薇;高芳;徐峰,情报杂志,2022-09-20 15:14,期刊,10,2189
63,中医四诊客观化与智能化研究进展,张世祺;孙宇衡;咸楠星;杨珺涵;马新宇,中医药导报,2023-06-28,期刊,1,1437
64,医疗大数据背景下的人工智能在中医诊断中的应用研究,马欣欣;万生芳;魏昭晖;郭倩;李荣科,世界中医药,2023-06-26 15:09,期刊,2,1288
65,基于人工智能的互联网智能分诊平台设计与应用,范一丁;师庆科;王觅也;罗凯,中国数字医学,2023-10-15,期刊,,256
66,从战略规划与科技布局看国内外人工智能医学应用的发展现状,袁天蔚;薛淮;杨靖;张英梅;熊燕,生命科学,2022-08-15,期刊,8,1340
67,数字时代的医疗数字化与数字医疗,曹艳林;张可;易敏;赵瑞芹,卫生软科学,2022-10-13,期刊,7,2417
68,基于CiteSpace知识图谱视角分析我国医学人工智能伦理研究现状,古想花;白玉珠;刘真真;姚敏;杨晓静,医药论坛杂志,2023-08-15,期刊,,405
69,国内人工智能医疗器械发展现状分析,张乔;黄思芮;张楠;吕明;张政波,医疗卫生装备,2023-05-15,期刊,1,629
70,人工智能辅助医疗决策的归责难题新解,何丽,自然辩证法研究,2023-06-18,期刊,1,627
71,智能医疗算法审查的融合型立法研究,任颖,法学评论,2022-11-10,期刊,4,924
72,替代还是支持：AI医疗决策的功能定位与规范回应,汪青松;罗娜,探索与争鸣,2023-05-20,期刊,2,586
73,人工智能算法侵权法律问题研究,贺栩溪,湖南师范大学,2021-06-01,博士,33,5379
74,人工智能医疗器械监管研究进展,彭亮;孙磊,中国食品药品监管,2022-02-15,期刊,24,1420
75,人工智能医疗器械国际监管比较研究,彭亮;刘枭寅;张宇晶;陈亭亭,中国数字医学,2023-05-15,期刊,2,410
76,医疗智能机器人侵权责任研究,钱波,兰州大学,2023-05-01,硕士,,396
77,《人工智能在乳腺癌早期检测和诊断中的应用》（第4-6章）的汉译及翻译实践报告,陈文,贵州师范大学,2023-06-01,硕士,,245
78,地方高校“人工智能+生物医学”人才培养模式探索与实践——以长春理工大学为例,嵇晓强;李景梅;任洁,长春理工大学学报(社会科学版),2023-09-15,期刊,,266
79,健康中国背景下人工智能促进体育与医疗的融合发展研究,王刚;林俐;乔凤杰,中国体育科技,2022-10-15,期刊,5,1138
80,人工智能在心血管疾病中的应用,罗祎;何平平;李俊宜,当代护士(中旬刊),2023-10-01,期刊,,323
81,刑事合规视角下医疗人工智能算法管理体系建构,霍俊阁,医学与社会,2023-07-10,期刊,,343
82,基于人工智能背景下医疗设备管理的挑战与机遇,董鲁圳,中国设备工程,2023-08-25,期刊,1,260
83,智慧医疗的伦理和法律问题及其应对策略,梅春英;王菡;李晓军;于平,中国医院管理,2023-03-05,期刊,2,1369
84,智能医疗对希波克拉底传统的挑战及其反思,吕禹含,山西大学,2023-06-01,硕士,,247
85,可解释人工智能医疗应用的伦理问题,江婧;曹东;鄢来均,中国医学伦理学,2022-12-25,期刊,3,1255
86,交互与共享：人工智能医疗决策的伦理向度,梁璐,医学与哲学,2023-05-20,期刊,1,617
87,医疗领域人工智能应用的研究进展,任相阁;任相颖;李绪辉;曾宪涛;訾豪,世界科学技术-中医药现代化,2022-03-25 11:41,期刊,11,4733
88,医疗大数据分析技术研究进展,杜志成;张志杰;姜庆五,中国血吸虫病防治杂志,2022-11-14 14:43,期刊,4,2025
89,健康中国战略下保险科技赋能商业健康保险发展研究,胡芳;彭琛;陈小红,西南金融,2021-06-01 16:20,期刊,40,2918
90,人工智能病理在肿瘤精准医疗时代的应用与挑战,平轶芳;闫红;卞修武,生命科学,2022-08-15,期刊,7,1225
91,人工智能医疗器械产业发展现状分析,滕依杉;李曼;赵阳光;王子函;郭佳颖,保健医学研究与实践,2023-05-20,期刊,1,723
92,人工智能在医学中的应用现状与展望,张婕,数字通信世界,2022-12-20,期刊,6,3048
93,抗疫视角下我国人工智能的应用、问题及发展建议,农羽青,苏州市职业大学学报,2023-09-15,期刊,,161
94,人工智能视域下医疗事故罪的适用嬗变与调适,霍俊阁,中国人民公安大学学报(社会科学版),2023-04-15,期刊,,569
95,医疗人工智能技术评估与监管的国际经验及启示,肖非易;李雪;李睿;赵琨;郭武栋,中国卫生质量管理,2023-07-15,期刊,,310
