时间,死亡率:年,出生率:年,女性人口数:年,男性人口数:年,负担老年系数:年,0-14岁人口占总人口比重(普查数):年,15-64岁人口占总人口比重(普查数):年,65岁以上人口占总人口比重(普查数):年,性别比:抽样数:0-4岁:年,性别比:抽样数:5-9岁:年,性别比:抽样数:10-14岁:年,性别比:抽样数:15-19岁:年,性别比:抽样数:20-24岁:年,性别比:抽样数:25-29岁:年,性别比:抽样数:30-34岁:年,性别比:抽样数:35-39岁:年,性别比:抽样数:40-44岁:年,性别比:抽样数:45-49岁:年,性别比:抽样数:50-54岁:年,性别比:抽样数:55-59岁:年,性别比:抽样数:60-64岁:年,性别比:抽样数:65-69岁:年,性别比:抽样数:70-74岁:年,性别比:抽样数:75-79岁:年,性别比:抽样数:80-84岁:年,性别比:抽样数:85-89岁:年,性别比:抽样数:90-94岁:年,性别比:抽样数:95岁以上:年,占总人口比重:16-59岁(含不满60周岁):年
2023-12-31 00:00:00,7.87,6.39,68935,72032,,,,,,,,,,,,,,,,,,,,,,,,,61.3
2022-12-31 00:00:00,7.37,6.77,68969,72206,21.83,,,,109.88,112.22,114.69,115.77,113.52,111.36,107.5,105.54,105.14,103.73,101.9,100.47,99.07,96.86,93.19,89.37,82.44,71.36,62.56,50.36,62
2021-12-31 00:00:00,7.18,7.52,68949,72311,20.82,,,,110.37,112.96,114.86,116.17,113.2,110.68,106.69,105.76,105,103.73,101.74,100.8,99.88,96.51,94.08,89.3,82.27,69.86,63.07,43.2,62.5
2020-12-31 00:00:00,7.07,8.52,68855,72357,19.7,17.95,68.55,13.5,,,,,,,,,,,,,,,,,,,,,
2019-12-31 00:00:00,7.09,10.41,68969,72039,17.797,,,,113.62,116.85,119.1,118.39,114.61,106.65,101.28,102.1,103.77,103.58,102.1,100.81,100.74,95.9,94.11,87.76,77.24,70.37,51.53,35.29,64
2018-12-31 00:00:00,7.08,10.86,68677.128574,71863.871426,16.765804,,,,113.91,118.03,118.62,118.14,112.89,105.39,101.05,102.84,103.75,103.64,102.15,101.65,100.5,96.94,94.42,89.15,76.97,71.16,48.74,40.07,64.3
2017-12-31 00:00:00,7.06,12.64,68361,71650,15.8774,,,,114.52,118.55,118.46,117.7,110.98,104.47,101.04,103.29,104.06,103.56,102.52,102.25,100.03,96.23,93.99,91.46,82.76,71.66,50.61,40.36,64.9
2016-12-31 00:00:00,7.04,13.57,67925,71307,14.96,,,,115.62,118.86,118.54,117.05,109.62,103.41,101.3,103.8,104.21,103.43,102.86,103.03,99.77,97.16,96.36,91.79,81.76,68.73,49.58,48.25,65.6
2015-12-31 00:00:00,7.07,11.99,67469,70857,14.334253,,,,116.23,119.09,118.59,116.12,108.51,102.24,101.94,104.13,104.42,103.28,102.63,103.45,99.74,99.91,96.36,90.7,78.94,67.03,53.97,39.36,66.3
2014-12-31 00:00:00,7.12,13.83,67124,70522,13.69079,,,,116.87,119.16,118.54,114.76,106.83,101.54,102.47,104.32,104.44,103.4,102.68,103.53,99.85,97.33,99.47,91.28,81.99,66.79,49.45,43.98,67
2013-12-31 00:00:00,7.13,13.03,66663,70063,13.1258,,,,117.3,118.68,117.86,111.18,109.72,100.54,103.18,104.31,104.46,103.4,103.44,103.06,100.7,99.69,97.11,89.78,82.14,66.75,55.33,34.05,67.6
2012-12-31 00:00:00,7.13,14.57,66262,69660,12.662968,,,,118.46,118.52,117.82,111.15,104.68,101.29,103.64,104.58,104.36,103.72,103.93,102.46,101.56,99.35,98.3,91,80.79,63.64,50.63,30.12,
2011-12-31 00:00:00,7.14,13.27,65755,69161,12.253323,,,,119.15,118.57,117.16,109.77,103.6,101.57,104.15,104.74,104.22,104.08,104.73,102.14,102.57,100.41,99.74,88.79,80.17,63.07,45.04,33.82,
2010-12-31 00:00:00,7.11,11.9,65342.5443,68748.4557,11.901248,16.6,74.5,8.9,119.13,118.66,116.24,108.17,100.95,101.32,104,104.78,104.03,103.78,105.14,102.12,103.47,101.88,99,89.71,79.37,64.09,50.68,79.35,
2009-12-31 00:00:00,7.08,11.95,64803.32,68646.68,11.598826,,,,122.66,122.65,118.27,112.26,100.84,99.67,97.32,98.35,98.88,97.71,101.31,100.18,103.68,102.21,100.15,95.36,78.27,69.93,44.38,36.83,
2008-12-31 00:00:00,7.06,12.14,64445,68357,11.33223,,,,123.26,121.4,115.91,114.1,97.85,96.34,98.13,97.75,99.23,98.64,101.36,102.7,103.27,102.39,98.87,92.14,80.08,65.34,45.17,41.17,
2007-12-31 00:00:00,6.93,12.1,64081,68048,11.098473,,,,123.59,120.53,116.45,112.81,96.1,94.27,96.59,98.03,99.06,99.49,101.67,102.04,103.58,103.79,97.24,92.26,77.95,65.79,41.97,36.22,
2006-12-31 00:00:00,6.81,12.09,63720,67728,10.959524,,,,120.72,123.05,116.99,111.99,95.84,93.79,96.3,96.74,97.9,100,101.51,102.38,104.21,104.73,97.54,91.37,74,60.48,47.86,36.89,
2005-12-31 00:00:00,6.51,12.4,63381,67375,10.674438,,,,122.66,119.3,114.2,107.88,93.13,94.43,96.75,96.99,98.62,100.72,101.4,103.91,105.13,102.96,97.01,87.83,73.5,56.71,43.35,32.28,
2004-12-31 00:00:00,6.42,12.29,63012,66976,10.692745,,,,122.69,119.1,112.43,107.42,96.85,96.82,100.11,100.67,101.04,102.33,103.08,103.77,104,100.79,97.89,90.68,72.12,56.68,46.8,36.83,
2003-12-31 00:00:00,6.4,12.41,62671,66556,10.653359,,,,121.22,119.66,111.69,110.61,98.67,98.66,100.39,100.99,104.5,102.56,101.26,104.74,102.94,101.14,101.17,87.89,72.64,56.43,45.98,46.88,
2002-12-31 00:00:00,6.41,12.86,62338,66115,10.384045,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31 00:00:00,6.43,13.38,61955,65672,10.085765,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31 00:00:00,6.45,14.03,61306,65437,9.9,22.9,70.2,7,120.17,115.42,108.81,105.43,102.79,104.98,105.5,105.92,108.32,105.67,107.55,107.86,108.21,101.85,94.66,81.99,66.95,53.55,41.48,,
1999-12-31 00:00:00,6.46,14.64,61094,64692,10.201143,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,6.5,15.64,60821,63940,9.910871,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,6.51,16.57,60495,63131,9.688889,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,6.56,16.98,60189,62200,9.53869,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-31 00:00:00,6.57,17.12,59313,61808,9.22619,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31 00:00:00,6.49,17.7,58604,61246,9.543818,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,6.64,18.09,58045,60472,9.22039,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,6.64,18.24,57360,59811,9.299517,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,6.7,19.68,56357,59466,9.034691,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-31 00:00:00,6.67,21.06,55429,58904,8.34582,27.7,66.7,5.6,,,,,,,,,,,,,,,,,,,,,
1989-12-31 00:00:00,6.54,21.58,54605,58099,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31 00:00:00,6.64,22.37,53825,57201,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31 00:00:00,6.72,23.33,53010,56290,8.290313,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31 00:00:00,6.86,22.43,51926,55581,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31 00:00:00,6.78,21.04,51126,54725,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31 00:00:00,6.82,19.9,50509,53848,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31 00:00:00,6.9,20.19,49856,53152,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31 00:00:00,6.6,22.28,49302,52352,7.98374,33.6,61.5,4.9,,,,,,,,,,,,,,,,,,,,,
1981-12-31 00:00:00,6.36,20.91,48553,51519,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31 00:00:00,6.34,18.21,47920,50785,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-31 00:00:00,6.21,17.82,47350,50192,,,,,,,,,,,,,,,,,,,,,,,,,
1978-12-31 00:00:00,6.25,18.25,46692,49567,0,,,,,,,,,,,,,,,,,,,,,,,,
1977-12-31 00:00:00,6.87,19.03,46066,48908,,,,,,,,,,,,,,,,,,,,,,,,,
1976-12-31 00:00:00,7.25,20.01,45460,48257,,,,,,,,,,,,,,,,,,,,,,,,,
1975-12-31 00:00:00,7.32,23.13,44856,47564,,,,,,,,,,,,,,,,,,,,,,,,,
1974-12-31 00:00:00,7.34,24.95,44132,46727,,,,,,,,,,,,,,,,,,,,,,,,,
1973-12-31 00:00:00,7.04,28.07,43335,45876,,,,,,,,,,,,,,,,,,,,,,,,,
1972-12-31 00:00:00,7.61,29.92,42364,44813,,,,,,,,,,,,,,,,,,,,,,,,,
1971-12-31 00:00:00,7.32,30.74,41410,43819,,,,,,,,,,,,,,,,,,,,,,,,,
1970-12-31 00:00:00,7.6,33.59,40306,42686,,,,,,,,,,,,,,,,,,,,,,,,,
1969-12-31 00:00:00,8.06,34.25,39382,41289,,,,,,,,,,,,,,,,,,,,,,,,,
1968-12-31 00:00:00,8.25,35.75,38308,40226,,,,,,,,,,,,,,,,,,,,,,,,,
1967-12-31 00:00:00,8.47,34.12,37253,39115,,,,,,,,,,,,,,,,,,,,,,,,,
1966-12-31 00:00:00,8.87,35.21,36353,38189,,,,,,,,,,,,,,,,,,,,,,,,,
1965-12-31 00:00:00,9.5,38,35410,37128,,,,,,,,,,,,,,,,,,,,,,,,,
1964-12-31 00:00:00,11.5,39.34,34357,36142,6.38565,40.7,55.8,3.6,,,,,,,,,,,,,,,,,,,,,
1963-12-31 00:00:00,10.04,43.6,33639,35533,,,,,,,,,,,,,,,,,,,,,,,,,
1962-12-31 00:00:00,10.02,37.22,32778,34517,,,,,,,,,,,,,,,,,,,,,,,,,
1961-12-31 00:00:00,14.24,18.13,31979,33880,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-31 00:00:00,25.43,20.86,31924,34283,,,,,,,,,,,,,,,,,,,,,,,,,
1959-12-31 00:00:00,14.59,24.78,32317,34890,,,,,,,,,,,,,,,,,,,,,,,,,
1958-12-31 00:00:00,11.98,29.22,31799,34195,,,,,,,,,,,,,,,,,,,,,,,,,
1957-12-31 00:00:00,10.8,34.03,31184,33469,,,,,,,,,,,,,,,,,,,,,,,,,
1956-12-31 00:00:00,11.4,31.9,30292,32536,,,,,,,,,,,,,,,,,,,,,,,,,
1955-12-31 00:00:00,12.28,32.6,29656,31809,,,,,,,,,,,,,,,,,,,,,,,,,
1954-12-31 00:00:00,13.18,37.97,29024,31242,,,,,,,,,,,,,,,,,,,,,,,,,
