国家,,,,,,,,,,,,,,
指标名称,人工智能指数:收盘价(前复权),人工智能指数:涨跌幅,人工智能指数:换手率,人工智能指数:换手率,人工智能指数:总市值2,人工智能指数:市盈率PE(TTM),人工智能指数:市净率PB(LF),纳斯达克CTA人工智能和机器人指数:收盘价(前复权),纳斯达克CTA人工智能和机器人指数:涨跌幅,纳斯达克CTA人工智能和机器人指数:换手率,纳斯达克CTA人工智能和机器人指数:股息率(近12个月),纳斯达克CTA人工智能和机器人指数:总市值2,纳斯达克CTA人工智能和机器人指数:市盈率PE(TTM),纳斯达克CTA人工智能和机器人指数:市净率PB(LF)
频率,日,日,日,日,日,日,日,日,日,日,日,日,日,日
单位,元,%,%,%,亿元,倍,倍,美元,%,%,%,亿美元,倍,倍
指标ID,884201.WI,884201.WI,884201.WI,884201.WI,884201.WI,884201.WI,884201.WI,NQROBO.GI,NQROBO.GI,NQROBO.GI,NQROBO.GI,NQROBO.GI,NQROBO.GI,NQROBO.GI
时间区间,2012-12-31:2024-05-10,2013-01-04:2024-05-10,2015-10-20:2024-05-10,2015-10-20:2024-05-10,2015-10-20:2024-05-10,2015-10-20:2024-05-10,2015-10-20:2024-05-10,2017-12-18:2024-05-10,2017-12-19:2024-05-10,2017-12-18:2024-05-10,2017-12-18:2024-05-10,2017-12-18:2024-05-10,2017-12-18:2024-05-10,2017-12-18:2024-05-10
来源,交易所,Wind计算,Wind计算,Wind计算,Wind计算,Wind计算,Wind计算,交易所,Wind计算,Wind计算,Wind计算,Wind计算,Wind计算,Wind计算
更新时间,'2024-05-10,'2024-05-10,'2024-05-10,'2024-05-10,'2024-05-10,'2024-05-10,'2024-05-10,'2024-05-10,'2024-05-10,'2024-05-10,'2024-05-10,'2024-05-10,'2024-05-10,'2024-05-10
2012/12/31,1000,,,,,,,,,,,,,
2013/1/4,982.5478,-1.74522,,,,,,,,,,,,
2013/1/7,1001.9029,1.96988889,,,,,,,,,,,,
2013/1/8,1022.1576,2.02162305,,,,,,,,,,,,
2013/1/9,1029.2461,0.69348406,,,,,,,,,,,,
2013/1/10,1034.0629,0.46799303,,,,,,,,,,,,
2013/1/11,1015.4317,-1.80174726,,,,,,,,,,,,
2013/1/14,1047.5142,3.15949364,,,,,,,,,,,,
2013/1/15,1071.5235,2.29202621,,,,,,,,,,,,
2013/1/16,1074.7274,0.29900417,,,,,,,,,,,,
2013/1/17,1066.5299,-0.76275156,,,,,,,,,,,,
2013/1/18,1078.6292,1.13445483,,,,,,,,,,,,
2013/1/21,1073.4929,-0.47618774,,,,,,,,,,,,
2013/1/22,1058.9951,-1.35052593,,,,,,,,,,,,
2013/1/23,1071.7327,1.20280066,,,,,,,,,,,,
2013/1/24,1038.1717,-3.13147112,,,,,,,,,,,,
2013/1/25,1037.7436,-0.04123595,,,,,,,,,,,,
2013/1/28,1059.4679,2.09341691,,,,,,,,,,,,
2013/1/29,1075.965,1.55711183,,,,,,,,,,,,
2013/1/30,1074.18,-0.16589759,,,,,,,,,,,,
2013/1/31,1055.5762,-1.73190713,,,,,,,,,,,,
2013/2/1,1064.2028,0.81724086,,,,,,,,,,,,
2013/2/4,1038.9898,-2.36919129,,,,,,,,,,,,
2013/2/5,1053.7882,1.42430657,,,,,,,,,,,,
2013/2/6,1067.7656,1.32639557,,,,,,,,,,,,
2013/2/7,1084.7029,1.58623765,,,,,,,,,,,,
2013/2/8,1103.7233,1.75351241,,,,,,,,,,,,
2013/2/18,1113.8546,0.91792028,,,,,,,,,,,,
2013/2/19,1097.4662,-1.4713231,,,,,,,,,,,,
2013/2/20,1120.3567,2.085759,,,,,,,,,,,,
2013/2/21,1109.8449,-0.93825475,,,,,,,,,,,,
2013/2/22,1095.0003,-1.33753825,,,,,,,,,,,,
2013/2/25,1111.9329,1.54635574,,,,,,,,,,,,
2013/2/26,1111.7783,-0.01390372,,,,,,,,,,,,
2013/2/27,1105.3731,-0.57612206,,,,,,,,,,,,
2013/2/28,1121.3632,1.44657944,,,,,,,,,,,,
2013/3/1,1143.5726,1.9805715,,,,,,,,,,,,
2013/3/4,1102.3899,-3.60123179,,,,,,,,,,,,
2013/3/5,1135.8902,3.03887944,,,,,,,,,,,,
2013/3/6,1159.8089,2.10572289,,,,,,,,,,,,
2013/3/7,1143.5924,-1.39820448,,,,,,,,,,,,
2013/3/8,1126.0036,-1.53803051,,,,,,,,,,,,
2013/3/11,1133.803,0.69266208,,,,,,,,,,,,
2013/3/12,1101.5887,-2.84126078,,,,,,,,,,,,
2013/3/13,1099.7406,-0.16776679,,,,,,,,,,,,
2013/3/14,1098.5827,-0.10528847,,,,,,,,,,,,
2013/3/15,1107.9542,0.85305367,,,,,,,,,,,,
2013/3/18,1096.4442,-1.03885161,,,,,,,,,,,,
2013/3/19,1089.7916,-0.60674314,,,,,,,,,,,,
2013/3/20,1116.7574,2.47439969,,,,,,,,,,,,
2013/3/21,1147.646,2.76591854,,,,,,,,,,,,
2013/3/22,1160.6861,1.13624759,,,,,,,,,,,,
2013/3/25,1167.8144,0.61414537,,,,,,,,,,,,
2013/3/26,1169.9916,0.18643373,,,,,,,,,,,,
2013/3/27,1180.9525,0.93683579,,,,,,,,,,,,
2013/3/28,1141.14,-3.37121942,,,,,,,,,,,,
2013/3/29,1136.527,-0.40424488,,,,,,,,,,,,
2013/4/1,1140.7471,0.37131542,,,,,,,,,,,,
2013/4/2,1112.9941,-2.43287929,,,,,,,,,,,,
2013/4/3,1096.7505,-1.45945068,,,,,,,,,,,,
2013/4/8,1122.6737,2.36363694,,,,,,,,,,,,
2013/4/9,1127.3131,0.41324563,,,,,,,,,,,,
2013/4/10,1117.7638,-0.84708498,,,,,,,,,,,,
2013/4/11,1110.1749,-0.67893593,,,,,,,,,,,,
2013/4/12,1104.3901,-0.52107105,,,,,,,,,,,,
2013/4/15,1089.9329,-1.30906642,,,,,,,,,,,,
2013/4/16,1109.0346,1.75255743,,,,,,,,,,,,
2013/4/17,1131.6491,2.03911582,,,,,,,,,,,,
2013/4/18,1124.9244,-0.59423897,,,,,,,,,,,,
2013/4/19,1143.8959,1.68646889,,,,,,,,,,,,
2013/4/22,1172.0686,2.46287271,,,,,,,,,,,,
2013/4/23,1136.7643,-3.01213598,,,,,,,,,,,,
2013/4/24,1183.5564,4.11625347,,,,,,,,,,,,
