指标名称,中国:总人口,中国:总人口:男性,中国:总人口:女性,中国:总人口:城镇,中国:总人口:城镇:比重(城镇化率),中国:总人口:乡村,中国:总人口:人户分离人口,中国:总人口:流动人口,中国:农村贫困人口(1978年标准),中国:农村贫困发生率(1978年标准),中国:农村贫困标准,中国:出生人数,中国:死亡人数,中国:出生率,中国:死亡率,中国:自然增长率,中国:人口密度,中国:户籍人口:城镇化率,中国:平均初婚年龄,中国:平均初婚年龄:男性,中国:平均初婚年龄:女性,中国:总抚养比,中国:总抚养比:少年儿童抚养比,中国:总抚养比:老年人口抚养比,中国:抽样数:总计:平均育龄妇女人数,中国:抽样数:总计:出生人数,中国:抽样数:总计:出生人数:一孩,中国:抽样数:总计:出生人数:二孩,中国:抽样数:总计:出生人数:三孩及以上,中国:抽样数:总计:生育率,中国:抽样数:总计:生育率:一孩,中国:抽样数:总计:生育率:二孩,中国:抽样数:总计:生育率:三孩及以上,中国:户籍人口:总户数,中国:户籍人口:总人口,中国:户籍人口:平均每户人数,中国:户籍人口:性别比,中国:婚姻登记:结婚登记:累计值,中国:婚姻登记:离婚登记:累计值,中国:婚姻登记:结婚登记,中国:婚姻登记:离婚登记
2010/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.2,39.7,,
2010/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.4,84.8,,
2010/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.2,131,,
2010/12/31,134091,68748,65343,66978,49.95,67113,2.61,2.21,,,1274,1596,949,11.9,7.11,4.79,140,,24.89,25.75,24,34.2,22.3,11.9,,,,,,,,,,4.21E+08,1.35E+09,3.19,105.7,1205,196.1,1241,267.8
2011/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.6,46.5,,
2011/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.4,94.6,,
2011/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.4,146.6,,
2011/12/31,134916,69161,65755,69926.9628,51.83,64989.0372,2.71,2.3,,,2300,1604,960,13.27,7.14,6.13,141,,25.09,25.93,24.24,34.354776,22.101453,12.253323,325497,9684,6428,2837,419,29.75,19.75,8.72,1.29,4.29E+08,1.36E+09,3.16,105.61,1247.1,211.1,1302.4,287.4
2012/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,53.6,,
2012/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.1,111.2,,
2012/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905.9,169.3,,
2012/12/31,135922,69660,66262,72174.582,53.1,63747.418,2.79,2.36,,,2300,1635,966,14.57,7.13,7.43,142,,25.34,26.14,24.52,34.860512,22.197544,12.662968,317046,11379,7412,3462,500,35.89,23.38,10.92,1.58,4.33E+08,1.36E+09,3.14,105.67,1297.1,238.8,1323.6,310.4
2013/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.2,69,,
2013/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,134.3,,
2013/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.8,204,,
2013/12/31,136726,70063,66663,74501.9974,54.49,62224.0026,2.89,2.45,,,2300,1640,972,13.03,7.13,5.9,142,,25.72,26.52,24.91,35.284643,22.199797,13.084846,308867,11022,7092,3431,490,35.68,22.96,11.11,1.59,4.39E+08,1.37E+09,3.115914,105.70956,1327.4,278,1346.9,350
2014/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.8,75,,
2014/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,145.5,,
2014/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.6,218.7,,
2014/12/31,137646,70522,67124,76737.645,55.75,60908.355,2.98,2.53,,,2300,1687,977,13.83,7.12,6.71,143,,26.06,26.86,25.25,36.2,22.452697,13.69079,304733,11377,6553,4082,735,37.334322,21.504071,13.395333,2.411948,4.43E+08,1.38E+09,3.105999,105.702198,1286.6,292.5,1306.7,363.9
2015/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,76.6,,
2015/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.7,151.6,,
2015/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.9,230.3,,
2015/12/31,138326,70857,67469,79302.2958,57.33,59023.7042,2.94,2.47,,,2300,1655,975,11.99,7.07,4.93,144,,26.43,27.21,25.63,36.967547,22.633294,14.334253,5667870,175309,93098,69695,12516,30.93,16.43,12.3,2.21,4.45E+08,1.38E+09,3.100241,105.673986,1213.4,312.7,1224.7,384.3
2016/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0415,86.229,,
2016/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.3386,168.3068,,
2016/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.5,257.9,,
2016/12/31,139232,71307,67925,81924.1088,58.84,57307.8912,2.92,2.45,,,2300,1786,977,13.57,7.04,6.53,145,41.2,26.71,27.5,25.91,37.9,22.9,15,311350,11263,6186,4508,569,36.17,19.87,14.48,1.83,4.49E+08,1.39E+09,3.099701,105.52278,1132.9,346.8,1142.8,415.8
2017/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.8,95.8,,
2017/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.5,185.6,,
2017/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789.2524,279.1335,,
2017/12/31,140011,71650,68361,84342.6264,60.24,55668.3736,2.91,2.44,,,2300,1723,986,12.64,7.06,5.58,146,42.35,27,27.8,26.19,39.246111,23.387993,15.858117,292794,13771,5702,7132,938,47.033068,19.474443,24.358423,3.203618,4.52E+08,1.40E+09,3.087964,105.274183,1059.0527,369.3178,1063.1,437.4
2018/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.7023,97.3924,,
2018/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.6839,193.0527,,
2018/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.9,289.9,,
2018/12/31,140541,71863.8714,68677.1286,86432.715,61.5,54108.285,2.86,2.41,,,2300,1523,993,10.86,7.08,3.78,146,43.37,27.3,28.12,26.5,40.44,23.68,16.77,285532,12566,5191,6272,1103,44.01,18.18,21.97,3.86,4.56E+08,1.40E+09,3.082409,105.12045,1010.8,380.1,1013.9,446.1
2019/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.5,104.8,,
2019/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,203.8,,
2019/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.1,310.4,,
2019/12/31,141008,72039,68969,88426.1168,62.71,52581.8832,2.8,2.36,,,2300,1465,998,10.41,7.09,3.32,147,44.38,27.68,28.48,26.88,41.56,23.76,17.8,265610,11368,4809,5368,1190,42.79959,18.10549,20.21008,4.480253,4.58E+08,1.41E+09,3.077616,105.015612,926.0139,404.3224,927.3,470.1
2020/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.7,61.2,,
2020/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.8704,159.4847,,
2020/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.4196,266.9985,,
2020/12/31,141212,72357,68855,90220,63.89,50992,4.9276,3.7582,,,2300,1203,998,8.52,7.07,1.45,147,45.4,28.67,29.38,27.95,45.98,26.24,19.74,,,,,,,,,,4.60E+08,1.41E+09,3.071505,104.851854,813.1206,373.3343,814.3,433.9
2021/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.2,29.6,,
