指标名称,中国:有效量:发明专利:国内,有效量:发明专利:国外,有效量:发明专利:国内外,有效量:实用新型专利:国内外,中国:有效量:实用新型专利:国内,中国:专利密集型产业增加值:总值,中国:专利密集型产业增加值:医药医疗产业,中国:专利密集型产业增加值:医药医疗产业:同比,中国:专利密集型产业增加值构成:医药医疗产业,中国:研究与试验发展(R&D)折合全时人员,中国:研究与试验发展(R&D)人员全时当量:基础研究,中国:研究与试验发展(R&D)人员全时当量:应用研究,中国:研究与试验发展(R&D)人员全时当量:试验发展,中国:研究与试验发展经费支出,中国:研究与试验发展(R&D)经费支出:政府资金,中国:研究与试验发展(R&D)经费支出相当于国内生产总值比例,中国:发表科技论文,中国:出版科技著作,中国:科技成果登记数,中国:国家技术发明奖,中国:高技术产业:R&D机构数
2010/12/31,,,,,,,,,,255.4,17.4,33.6,204.5,7062.6,1696.3,1.76,142,45563,42108,46,3184
2011/1/31,261150,308644,569794,877859,869108,,,,,,,,,,,,,,,,
2011/2/28,266616,311110,577726,893441,884544,,,,,,,,,,,,,,,,
2011/3/31,277334,313362,590696,915824,906788,,,,,,,,,,,,,,,,
2011/4/30,285844,317493,603337,942379,933125,,,,,,,,,,,,,,,,
2011/5/31,292243,321105,613348,956092,946752,,,,,,,,,,,,,,,,
2011/6/30,301978,324991,626969,981624,972102,,,,,,,,,,,,,,,,
2011/7/31,309172,327551,636723,1010964,1001219,,,,,,,,,,,,,,,,
2011/8/31,318179,331768,649947,1038788,1028831,,,,,,,,,,,,,,,,
2011/9/30,326445,335433,661878,1061653,1051519,,,,,,,,,,,,,,,,
2011/10/31,332873,338293,671166,1077533,1067280,,,,,,,,,,,,,,,,
2011/11/30,342466,341697,684163,1098082,1087633,,,,,,,,,,,,,,,,
2011/12/31,351288,345651,696939,1120596,1109958,,,,,288.3,19.32,35.28,233.73,8687,1882.97,1.84,150,45472,44208,55,3254
2012/1/31,355590,348346,703936,1126793,1116057,,,,,,,,,,,,,,,,
2012/2/29,364600,353462,718062,1151270,1140235,,,,,,,,,,,,,,,,
2012/3/31,374387,356665,731052,1162401,1151249,,,,,,,,,,,,,,,,
2012/4/30,384284,362858,747142,1188741,1177388,,,,,,,,,,,,,,,,
2012/5/31,397289,368557,765846,1235280,1223585,,,,,,,,,,,,,,,,
2012/6/30,411059,374645,785704,1264436,1252276,,,,,,,,,,,,,,,,
2012/7/31,421578,379569,801147,1287587,1275226,,,,,,,,,,,,,,,,
2012/8/31,431074,383658,814732,1327950,1315334,,,,,,,,,,,,,,,,
2012/9/30,444111,389481,833592,1373441,1360479,,,,,,,,,,,,,,,,
2012/10/31,453827,393922,847749,1412168,1398841,,,,,,,,,,,,,,,,
2012/11/30,464380,398253,862633,1458293,1444543,,,,,,,,,,,,,,,,
2012/12/31,473187,402198,875385,1501044,1486839,,,,,324.7,21.21675,38.37665,265.0944,10298.40896,2221.39496,1.98,151.7843,46751,51723,77,4566
2013/1/31,480828,406403,887231,1542102,1527385,,,,,,,,,,,,,,,,
2013/2/28,486807,410338,897145,1569687,1554534,,,,,,,,,,,,,,,,
