,床位数:医院:综合
区域,中国
次国家,
频率,"年, 年终12月"
单位,张
数据来源,国家卫生健康委员会
状态,继续
数列ID,298261701 (CGBSCG)
SR码,SR4531364
贸易代码,
助记符,
函数说明,
首次观测日期,1950
最后观测日期,2022
最后更新时间,15/01/2024
数列备注,
建议,
平均,1962365.56
方差,1596081824906.0083
标准差,1263361.3200134032
偏度,0.9698515442842621
峰度,-0.0016127190292958282
变异系数,0.6437950939239899
最小,84600
最大,4791462
中位数,1604700
总和 SUM,98118278
减 SUBTRACT,-4706862
参照期间,50
1950,84600
1955,170800
1960,447400
1965,480400
1970,572100
1975,763300
1978,873300
1980,941100
1981,968000
1982,998300
1983,1039900
1984,1080000
1985,1127700
1986,1175200
1987,1237100
1988,1290600
1989,1336000
1990,1369000
1991,1405500
1992,1441000
1993,1566300
1994,1587000
1995,1587200
1996,1597300
1997,1612100
1998,1620000
1999,1632500
2000,1640900
2001,1505000
2002,1683800
2003,1713438
2004,1776804
2005,1834700
2006,1902894
2007,1971551
2008,2112792
2009,2271102
2010,2449509
2011,2670729
2012,2979855
2013,3255153
2014,3499924
2015,3721036
2016,3927857
2017,4172353
2018,4378892
2019,4532676
2020,4622462
2021,4699689
2022,4791462
