,执业(助理)医师
区域,中国
次国家,
频率,"年, 年终12月"
单位,千人
数据来源,国家卫生健康委员会
状态,继续
数列ID,508449587
SR码,SR203153217
贸易代码,
助记符,
函数说明,
首次观测日期,1949
最后观测日期,2023
最后更新时间,25/03/2024
数列备注,
建议,
平均,1633.0678666666665
方差,1159177.3841946844
标准差,1076.6510038980525
偏度,1.0402769927807023
峰度,0.6271838908256568
变异系数,0.6592812374023724
最小,363
最大,4780
中位数,1444
总和 SUM,122480.09000000003
减 SUBTRACT,-4417
参照期间,75
1949,363
1950,380.8
1951,397
1952,425
1953,449
1954,476
1955,500.398
1956,525
1957,547
1958,544
1959,594
1960,596.109
1961,652
1962,688
1963,721
1964,739
1965,762.804
1966,707
1967,710
1968,701
1969,697
1970,702.304
1971,712
1972,739
1973,781
1974,831
1975,877.716
1976,930
1977,978
1978,978.2
1979,1088
1980,1153.234
1981,1244
1982,1307
1983,1353
1984,1381
1985,1413.281
1986,1444
1987,1482
1988,1618
1989,1718
1990,1763.086
1991,1779.545
1992,1808.194
1993,1831.665
1994,1882.18
1995,1917.772
1996,1941.235
1997,1984.867
1998,1999.521
1999,2044.672
2000,2075.843
2001,2099.658
2002,1843.995
2003,1942.364
2004,1999.457
2005,2042.135
2006,2099.064
2007,2122.925
2008,2201.904
2009,2329.206
2010,2413.259
2011,2466.094
2012,2616.064
2013,2794.754
2014,2892.518
2015,3039.135
2016,3191.005
2017,3390.034
2018,3607.156
2019,3866.916
2020,4085.689
2021,4287.604
2022,4434.728
2023,4780
