时间,企业数量:综合医院:中国:年,企业数量:整形外科医院:中国:年,企业数量:中医院:中国:年,企业数量:医疗和兽医仪器制造:中国:年,企业数量:医疗器械制造:中国:年,企业数量:医疗用品制造业:中国:年,企业数量:医药制造:中国:年,企业数量:医药原料制造:中国:年,企业数量:医学研究:中国:年
2028-12-31 00:00:00,,,,547,,1142,,,7370
2027-12-31 00:00:00,12832,606,5647,544,526,1132,1672,1526,7263
2026-12-31 00:00:00,12806,582,5504,541,510,1120,1664,1509,7172
2025-12-31 00:00:00,12768,557,5344,537,493,1106,1656,1491,7082
2024-12-31 00:00:00,12730,534,5173,532,475,1090,1646,1475,6994
2023-12-31 00:00:00,12691,513,4993,526,456,1072,1636,1460,6893
2022-12-31 00:00:00,12641,494,4810,519,436,1052,1625,1444,6787
2021-12-31 00:00:00,12591,477,4621,512,415,1021,1614,1427,6646
2020-12-31 00:00:00,12545,462,4426,504,393,1000,1601,1407,6492
2019-12-31 00:00:00,12500,450,4221,494,370,965,1585,1379,6314
2018-12-31 00:00:00,12470,398,3977,486,352,948,1565,1362,6203
2017-12-31 00:00:00,12430,345,3695,478,334,920,1540,1349,6087
2016-12-31 00:00:00,12390,275,3462,469,316,891,1513,1334,5968
2015-12-31 00:00:00,12350,228,3267,460,297,862,1483,1317,5845
2014-12-31 00:00:00,12300,192,3115,449,278,831,1451,1298,5719
2013-12-31 00:00:00,12250,164,3015,437,257,798,1417,1274,5591
2012-12-31 00:00:00,12190,132,2889,424,231,764,1375,1256,5449
2011-12-31 00:00:00,12120,,2831,410,200,728,1330,1235,5290
2010-12-31 00:00:00,12060,,2778,394,178,693,1291,1234,5105
2009-12-31 00:00:00,12030,,2728,370,175,672,1299,1195,4940
2008-12-31 00:00:00,12000,,2688,364,171,627,1284,1175,4725
2007-12-31 00:00:00,12000,,2720,280,132,499,1160,1041,4480
2006-12-31 00:00:00,12000,,2665,240,117,445,1144,994,4160
2005-12-31 00:00:00,11900,,2620,220,119,391,1103,954,3895
2004-12-31 00:00:00,11900,,2611,237,120,356,1055,945,3605
