时间,资产:医药制造业GB2011:当期值:月
2023-12-31 00:00:00,49824.8
2023-11-30 00:00:00,49790.1
2023-10-31 00:00:00,49206.7
2023-09-30 00:00:00,49098.4
2023-08-31 00:00:00,48635.2
2023-07-31 00:00:00,48581.4
2023-06-30 00:00:00,48570.8
2023-05-31 00:00:00,48157
2023-04-30 00:00:00,48600.6
2023-03-31 00:00:00,48804.2
2023-02-28 00:00:00,48900.5
2022-12-31 00:00:00,47885.3
2022-11-30 00:00:00,47436.5
2022-10-31 00:00:00,46818.2
2022-09-30 00:00:00,46610.6
2022-08-31 00:00:00,46024.4
2022-07-31 00:00:00,45758.6
2022-06-30 00:00:00,45964
2022-05-31 00:00:00,45290.8
2022-04-30 00:00:00,45008.8
2022-03-31 00:00:00,44794.8
2022-02-28 00:00:00,44172.9
2022-01-31 00:00:00,46818.2
2021-12-31 00:00:00,43572.4
2021-11-30 00:00:00,43258.4
2021-10-31 00:00:00,42703.7
2021-09-30 00:00:00,42153.8
2021-08-31 00:00:00,41351.9
2021-07-31 00:00:00,40740.3
2021-06-30 00:00:00,40520.1
2021-05-31 00:00:00,39657.6
2021-04-30 00:00:00,39043.8
2021-03-31 00:00:00,38671
2021-02-28 00:00:00,38078.3
2020-12-31 00:00:00,37612.2
2020-11-30 00:00:00,37151.9
2020-10-31 00:00:00,36546
2020-09-30 00:00:00,36355
2020-08-31 00:00:00,35701.2
2020-07-31 00:00:00,35460.8
2020-06-30 00:00:00,35179.9
2020-05-31 00:00:00,34864.9
2020-04-30 00:00:00,34648.5
2020-03-31 00:00:00,34332.6
2020-02-29 00:00:00,33799.1
2019-12-31 00:00:00,33875.8
2019-11-30 00:00:00,33889
2019-10-31 00:00:00,33713.3
2019-09-30 00:00:00,33762
2019-08-31 00:00:00,33635.9
2019-07-31 00:00:00,33219.7
2019-06-30 00:00:00,33233.7
2019-05-31 00:00:00,32967.1
2019-04-30 00:00:00,32678
2019-03-31 00:00:00,32570.6
2019-02-28 00:00:00,32201
2018-12-31 00:00:00,32913.1
2018-11-30 00:00:00,32686.3
2018-10-31 00:00:00,32168.1
2018-09-30 00:00:00,31890.5
2018-08-31 00:00:00,31541.6
2018-07-31 00:00:00,31253.5
2018-06-30 00:00:00,31256.6
2018-05-31 00:00:00,30805.5
2018-04-30 00:00:00,30628.1
2018-03-31 00:00:00,30245.2
2018-02-28 00:00:00,29907.1
2017-12-31 00:00:00,31053
2017-11-30 00:00:00,30681.1
2017-10-31 00:00:00,30412.1
2017-09-30 00:00:00,29892.8
2017-08-31 00:00:00,29592
2017-07-31 00:00:00,29468.9
2017-06-30 00:00:00,29380.7
2017-05-31 00:00:00,28925.7
2017-04-30 00:00:00,28670.6
2017-03-31 00:00:00,28344.5
2017-02-28 00:00:00,27814
2016-12-31 00:00:00,28548
2016-11-30 00:00:00,27993.7
2016-10-31 00:00:00,27462
2016-09-30 00:00:00,27086.5
2016-08-31 00:00:00,26617.1
2016-07-31 00:00:00,26091.8
2016-06-30 00:00:00,25932
2016-05-31 00:00:00,25440.5
2016-04-30 00:00:00,25174.1
2016-03-31 00:00:00,24857.7
2016-02-29 00:00:00,24266.3
2015-12-31 00:00:00,24545.4
2015-11-30 00:00:00,24212.4
2015-10-31 00:00:00,23837.8
2015-09-30 00:00:00,23425.7
2015-08-31 00:00:00,23019
2015-07-31 00:00:00,22767.7
2015-06-30 00:00:00,22424.7
2015-05-31 00:00:00,22128.9
2015-04-30 00:00:00,21774.3
2015-03-31 00:00:00,21576.1
2015-02-28 00:00:00,21122.3
2014-12-31 00:00:00,21467.2
2014-11-30 00:00:00,21119.3
2014-10-31 00:00:00,20712.8
2014-09-30 00:00:00,20363.7
2014-08-31 00:00:00,19941.6
2014-07-31 00:00:00,19661.4
2014-06-30 00:00:00,19539.4
2014-05-31 00:00:00,19182.5
2014-04-30 00:00:00,18934.1
2014-03-31 00:00:00,18756
2014-02-28 00:00:00,18221.31
