,财政支出:一般公共预算支出:卫生健康
区域,中国
次国家,
频率,"季, 季末3月"
单位,十亿人民币
数据来源,财政部
状态,继续
数列ID,136479001 (CFAEGW)
SR码,SR1724968
贸易代码,
助记符,
函数说明,"AGGREGATE(Quarterly; March, June, September, December; Sum; 否)"
首次观测日期,03/2007
最后观测日期,03/2024
最后更新时间,22/04/2024
数列备注,
建议,
平均,272.0267391304348
方差,25297.32225187213
标准差,159.05131955401103
偏度,0.31137802776684476
峰度,-0.7931974570103937
变异系数,0.5846900200415486
最小,23.04
最大,628.9
中位数,252.2
总和 SUM,18769.844999999998
减 SUBTRACT,-605.86
参照期间,69
03/2007,23.04
06/2007,41.9
09/2007,46.06
12/2007,87.996
03/2008,32.39
06/2008,55.98
09/2008,62.41
12/2008,124.924
03/2009,46.41
06/2009,82.403
09/2009,75.544
12/2009,195.062
03/2010,49.412
06/2010,102.65
09/2010,111.467
12/2010,216.889
03/2011,39.87
06/2011,168.569
09/2011,151.066
12/2011,246.431
03/2012,129.297
06/2012,181.834
09/2012,182.329
12/2012,226.412
03/2013,157.982
06/2013,222.666
09/2013,185.053
12/2013,255.199
03/2014,217.228
06/2014,273.24
09/2014,208.432
12/2014,309.7
03/2015,246.19
06/2015,333.917
09/2015,258.941
12/2015,352.552
03/2016,317.468
06/2016,400.358
09/2016,298.617
12/2016,298.957
03/2017,410.647
06/2017,451.65
09/2017,321.053
12/2017,276.65
03/2018,442.621
06/2018,504.606
09/2018,329.332
12/2018,293.441
03/2019,253.7
06/2019,534.5
09/2019,369.3
12/2019,300.9
03/2020,226
06/2020,509.4
09/2020,427.3
12/2020,485.8
03/2021,231.3
06/2021,506.6
09/2021,422.2
12/2021,453
03/2022,252.2
06/2022,553.9
09/2022,499.4
12/2022,628.9
03/2023,247.8
06/2023,562
09/2023,475.3
12/2023,560
03/2024,223.5
