时间,美元对人民币汇率:年
2023-12-31 00:00:00,7.0827
2022-12-31 00:00:00,6.9646
2021-12-31 00:00:00,6.3757
2020-12-31 00:00:00,6.5249
2019-12-31 00:00:00,6.9762
2018-12-31 00:00:00,6.8632
2017-12-31 00:00:00,6.5342
2016-12-31 00:00:00,6.937
2015-12-31 00:00:00,6.4936
2014-12-31 00:00:00,6.119
2013-12-31 00:00:00,6.0969
2012-12-31 00:00:00,6.2855
2011-12-31 00:00:00,6.3009
2010-12-31 00:00:00,6.6227
2009-12-31 00:00:00,6.8282
2008-12-31 00:00:00,6.8346
2007-12-31 00:00:00,7.3046
2006-12-31 00:00:00,7.8087
2005-12-31 00:00:00,8.0702
2004-12-31 00:00:00,8.2765
2003-12-31 00:00:00,8.2767
2002-12-31 00:00:00,8.2773
2001-12-31 00:00:00,8.2766
2000-12-31 00:00:00,8.2781
1999-12-31 00:00:00,8.2793
1998-12-31 00:00:00,8.2787
1997-12-31 00:00:00,8.2798
1996-12-31 00:00:00,8.2982
1995-12-31 00:00:00,8.3179
1994-12-31 00:00:00,8.4462
