,财政支出:一般公共预算支出:卫生健康
区域,中国
次国家,
频率,月
单位,十亿人民币
数据来源,财政部
状态,继续
数列ID,136479001 (CFAEGW)
SR码,SR1724968
贸易代码,
助记符,
函数说明,
首次观测日期,01/2007
最后观测日期,03/2024
最后更新时间,22/04/2024
数列备注,
建议,
平均,97.25308290155445
方差,4843.669640753509
标准差,69.59647721511132
偏度,0.8603041367242832
峰度,0.08792439972034272
变异系数,0.7156223241330165
最小,5.84
最大,311.1
中位数,80.834
总和 SUM,18769.844999999998
减 SUBTRACT,-305.26000000000005
参照期间,193
01/2007,5.84
02/2007,6.91
03/2007,10.29
04/2007,14.61
05/2007,9.84
06/2007,17.45
07/2007,14.19
08/2007,14.9
09/2007,16.97
10/2007,13.31
11/2007,17.58
12/2007,57.106
01/2008,9.4
02/2008,7.95
03/2008,15.04
04/2008,15.83
05/2008,17.02
06/2008,23.13
07/2008,18.18
08/2008,19.04
09/2008,25.19
10/2008,20.51
11/2008,23.58
12/2008,80.834
01/2009,12.06
02/2009,12.8
03/2009,21.55
04/2009,24.639
05/2009,24.159
06/2009,33.605
07/2009,26.923
08/2009,20.111
09/2009,28.51
10/2009,21.028
11/2009,30.999
12/2009,143.035
01/2010,11.731
02/2010,13.411
03/2010,24.27
04/2010,32.27
05/2010,32.161
06/2010,38.219
07/2010,28.532
08/2010,35.503
09/2010,47.432
10/2010,34.24
11/2010,58.136
12/2010,124.513
03/2011,39.87
04/2011,46.429
05/2011,56.165
06/2011,65.975
07/2011,47.408
08/2011,49.229
09/2011,54.429
10/2011,46.756
11/2011,60.214
12/2011,139.461
01/2012,25.323
02/2012,37.143
03/2012,66.831
04/2012,49.276
05/2012,57.187
06/2012,75.371
07/2012,55.075
08/2012,56.195
09/2012,71.059
10/2012,47.942
11/2012,61.27
12/2012,117.2
01/2013,34.668
02/2013,40.593
03/2013,82.721
04/2013,71.688
05/2013,65.968
06/2013,85.01
07/2013,56.413
08/2013,55.184
09/2013,73.456
10/2013,56.798
11/2013,60.845
12/2013,137.556
01/2014,50.522
02/2014,52.632
03/2014,114.074
04/2014,77.397
05/2014,88.422
06/2014,107.421
07/2014,62.703
08/2014,60.852
09/2014,84.877
10/2014,57.045
11/2014,71.068
12/2014,181.587
01/2015,50.966
02/2015,65.792
03/2015,129.432
04/2015,100.47
05/2015,99.568
06/2015,133.879
07/2015,79.173
08/2015,74.256
09/2015,105.512
10/2015,72.455
11/2015,95.747
12/2015,184.35
01/2016,65.261
02/2016,80.983
03/2016,171.224
04/2016,106.658
05/2016,116.569
06/2016,177.131
07/2016,73.636
08/2016,87.252
09/2016,137.729
10/2016,62.796
11/2016,118.257
12/2016,117.904
01/2017,84.227
02/2017,100.783
03/2017,225.637
04/2017,104.209
05/2017,130.551
06/2017,216.89
07/2017,76.373
08/2017,92.731
09/2017,151.949
10/2017,50.311
11/2017,99.226
12/2017,127.113
01/2018,94.76
02/2018,118.015
03/2018,229.846
04/2018,111.294
05/2018,139.192
06/2018,254.12
07/2018,75.104
08/2018,92.744
09/2018,161.484
10/2018,51.692
11/2018,82.122
12/2018,159.627
03/2019,253.7
04/2019,123.8
05/2019,126.5
06/2019,284.2
07/2019,79.6
08/2019,96.1
09/2019,193.6
10/2019,53.6
11/2019,75
12/2019,172.3
03/2020,226
04/2020,144.5
05/2020,137.9
06/2020,227
07/2020,123.7
08/2020,118.7
09/2020,184.9
10/2020,87.4
11/2020,126.7
12/2020,271.7
03/2021,231.3
04/2021,140.7
05/2021,137.1
06/2021,228.8
07/2021,120.7
08/2021,132.6
09/2021,168.9
10/2021,89.5
11/2021,128.4
12/2021,235.1
03/2022,252.2
04/2022,158.3
05/2022,153.3
06/2022,242.3
07/2022,140.9
08/2022,148
09/2022,210.5
10/2022,128.5
11/2022,189.3
12/2022,311.1
03/2023,247.8
04/2023,152.1
05/2023,154.9
06/2023,255
07/2023,136.8
08/2023,155.8
09/2023,182.7
10/2023,125.7
11/2023,164.8
12/2023,269.5
03/2024,223.5
