year,老头,政府卫生支出占比,变异系数,医保
2013,0.0969969135351,0.06,0.443839363433743,0.0662827134239
2014,0.10099821280677,0.07,0.437507081131138,0.06859560763737
2015,0.10499833726125,0.07,0.44587930838091,0.06878997434402
2016,0.10799959779361,0.07,0.45621401121724,0.07378239568207
2017,0.11399818585683,0.07,0.454272156430865,0.078453272299
2018,0.11899730327805,0.07,0.45365644533455,0.08480193489968
2019,0.12599994326563,0.07,0.448624803176914,0.08825232524528
2020,0.1349993484973,0.08,0.441893337175489,0.0847777284648
2021,0.14197932889707,0.08,0.441133976752797,0.1156132656325
2022,0.14859571453869,0.08,0.424161674244903,0.0923029293402
