year,人口自然增长率加一,政府卫生支出占比,变异系数,医保
2013,1.59,0.06,0.443839363433743,0.0662827134239
2014,1.67,0.07,0.437507081131138,0.06859560763737
2015,1.49,0.07,0.44587930838091,0.06878997434402
2016,1.65,0.07,0.45621401121724,0.07378239568207
2017,1.56,0.07,0.454272156430865,0.078453272299
2018,1.38,0.07,0.45365644533455,0.08480193489968
2019,1.33,0.07,0.448624803176914,0.08825232524528
2020,1.15,0.08,0.441893337175489,0.0847777284648
2021,1.03,0.08,0.441133976752797,0.1156132656325
2022,0.94,0.08,0.424161674244903,0.0923029293402
