year,卫生总费用增长率,人口自然增长率加一,CPI,医保
2013,0.110384555,1.59,102.62401527,0.0662827134239
2014,0.064703706,1.67,101.98842742,0.06859560763737
2015,0.096194962,1.49,101.44082395,0.06878997434402
2016,0.11365465,1.65,102.00284829,0.07378239568207
2017,0.12402744,1.56,101.5577222,0.078453272299
2018,0.134931841,1.38,102.10452852,0.08480193489968
2019,0.13106253,1.33,102.90428294,0.08825232524528
2020,0.160347074,1.15,102.5,0.0847777284648
2021,0.11504802,1.03,100.9,0.1156132656325
2022,0.126247377,0.94,102.0,0.0923029293402
