year,人均GDP增长率,人口自然增长率加一,CPI,医保
2013,0.093666376,1.59,102.62401527,0.0662827134239
2014,0.078514286,1.67,101.98842742,0.06859560763737
2015,0.064176034,1.49,101.44082395,0.06878997434402
2016,0.077333548,1.65,102.00284829,0.07378239568207
2017,0.108012829,1.56,101.5577222,0.078453272299
2018,0.099702419,1.38,102.10452852,0.08480193489968
2019,0.069337549,1.33,102.90428294,0.08825232524528
2020,0.0249788,1.15,102.5,0.0847777284648
2021,0.132842441,1.03,100.9,0.1156132656325
2022,0.053190776,0.94,102.0,0.0923029293402
