year,人均可支配收入增长率,政府卫生支出占比,个人卫生支出占比,医保
2013,0.109106877858203,0.06,0.33879697515042,0.0662827134239
2014,0.101377329226467,0.07,0.31987089941901,0.06859560763737
2015,0.0892096533462918,0.07,0.29268466443334,0.06878997434402
2016,0.0844388196410849,0.07,0.2877965382486,0.07378239568207
2017,0.0903740397128584,0.07,0.28772038845425,0.078453272299
2018,0.086787455050859,0.07,0.28605283557314,0.08480193489968
2019,0.0887345897690236,0.07,0.28361901229607,0.08825232524528
2020,0.0473760932944606,0.08,0.27654215448563,0.0847777284648
2021,0.0913143702157272,0.08,0.2759538390206,0.1156132656325
2022,0.0499656969776334,0.08,0.2688575510659,0.0923029293402
