year,老头,政府卫生支出占比,CPI,医保
2013,0.0969969135351,0.06,102.62401527,0.0662827134239
2014,0.10099821280677,0.07,101.98842742,0.06859560763737
2015,0.10499833726125,0.07,101.44082395,0.06878997434402
2016,0.10799959779361,0.07,102.00284829,0.07378239568207
2017,0.11399818585683,0.07,101.5577222,0.078453272299
2018,0.11899730327805,0.07,102.10452852,0.08480193489968
2019,0.12599994326563,0.07,102.90428294,0.08825232524528
2020,0.1349993484973,0.08,102.5,0.0847777284648
2021,0.14197932889707,0.08,100.9,0.1156132656325
2022,0.14859571453869,0.08,102.0,0.0923029293402
