year,人均GDP增长率,变异系数,个人卫生支出占比,医保
2013,0.093666376,0.443839363433743,0.33879697515042,0.0662827134239
2014,0.078514286,0.437507081131138,0.31987089941901,0.06859560763737
2015,0.064176034,0.44587930838091,0.29268466443334,0.06878997434402
2016,0.077333548,0.45621401121724,0.2877965382486,0.07378239568207
2017,0.108012829,0.454272156430865,0.28772038845425,0.078453272299
2018,0.099702419,0.45365644533455,0.28605283557314,0.08480193489968
2019,0.069337549,0.448624803176914,0.28361901229607,0.08825232524528
2020,0.0249788,0.441893337175489,0.27654215448563,0.0847777284648
2021,0.132842441,0.441133976752797,0.2759538390206,0.1156132656325
2022,0.053190776,0.424161674244903,0.2688575510659,0.0923029293402
