year,人均可支配收入增长率,老头,人均GDP增长率,人口自然增长率加一,政府卫生支出占比
2013,0.109106877858203,0.0969969135351,0.093666376,1.59,0.06
2014,0.101377329226467,0.10099821280677,0.078514286,1.67,0.07
2015,0.0892096533462918,0.10499833726125,0.064176034,1.49,0.07
2016,0.0844388196410849,0.10799959779361,0.077333548,1.65,0.07
2017,0.0903740397128584,0.11399818585683,0.108012829,1.56,0.07
2018,0.086787455050859,0.11899730327805,0.099702419,1.38,0.07
2019,0.0887345897690236,0.12599994326563,0.069337549,1.33,0.07
2020,0.0473760932944606,0.1349993484973,0.0249788,1.15,0.08
2021,0.0913143702157272,0.14197932889707,0.132842441,1.03,0.08
2022,0.0499656969776334,0.14859571453869,0.053190776,0.94,0.08
