year,人均可支配收入增长率,老头,人均GDP增长率,政府卫生支出占比,个人卫生支出占比
2013,0.109106877858203,0.0969969135351,0.093666376,0.06,0.33879697515042
2014,0.101377329226467,0.10099821280677,0.078514286,0.07,0.31987089941901
2015,0.0892096533462918,0.10499833726125,0.064176034,0.07,0.29268466443334
2016,0.0844388196410849,0.10799959779361,0.077333548,0.07,0.2877965382486
2017,0.0903740397128584,0.11399818585683,0.108012829,0.07,0.28772038845425
2018,0.086787455050859,0.11899730327805,0.099702419,0.07,0.28605283557314
2019,0.0887345897690236,0.12599994326563,0.069337549,0.07,0.28361901229607
2020,0.0473760932944606,0.1349993484973,0.0249788,0.08,0.27654215448563
2021,0.0913143702157272,0.14197932889707,0.132842441,0.08,0.2759538390206
2022,0.0499656969776334,0.14859571453869,0.053190776,0.08,0.2688575510659
