year,老头,卫生总费用增长率,人均GDP增长率,人口自然增长率加一,CPI
2013,0.0969969135351,0.110384555,0.093666376,1.59,102.62401527
2014,0.10099821280677,0.064703706,0.078514286,1.67,101.98842742
2015,0.10499833726125,0.096194962,0.064176034,1.49,101.44082395
2016,0.10799959779361,0.11365465,0.077333548,1.65,102.00284829
2017,0.11399818585683,0.12402744,0.108012829,1.56,101.5577222
2018,0.11899730327805,0.134931841,0.099702419,1.38,102.10452852
2019,0.12599994326563,0.13106253,0.069337549,1.33,102.90428294
2020,0.1349993484973,0.160347074,0.0249788,1.15,102.5
2021,0.14197932889707,0.11504802,0.132842441,1.03,100.9
2022,0.14859571453869,0.126247377,0.053190776,0.94,102.0
