year,人均可支配收入增长率,老头,人口自然增长率加一,政府卫生支出占比,CPI
2013,0.109106877858203,0.0969969135351,1.59,0.06,102.62401527
2014,0.101377329226467,0.10099821280677,1.67,0.07,101.98842742
2015,0.0892096533462918,0.10499833726125,1.49,0.07,101.44082395
2016,0.0844388196410849,0.10799959779361,1.65,0.07,102.00284829
2017,0.0903740397128584,0.11399818585683,1.56,0.07,101.5577222
2018,0.086787455050859,0.11899730327805,1.38,0.07,102.10452852
2019,0.0887345897690236,0.12599994326563,1.33,0.07,102.90428294
2020,0.0473760932944606,0.1349993484973,1.15,0.08,102.5
2021,0.0913143702157272,0.14197932889707,1.03,0.08,100.9
2022,0.0499656969776334,0.14859571453869,0.94,0.08,102.0
