year,卫生总费用增长率,人口自然增长率加一,政府卫生支出占比,个人卫生支出占比,CPI
2013,0.110384555,1.59,0.06,0.33879697515042,102.62401527
2014,0.064703706,1.67,0.07,0.31987089941901,101.98842742
2015,0.096194962,1.49,0.07,0.29268466443334,101.44082395
2016,0.11365465,1.65,0.07,0.2877965382486,102.00284829
2017,0.12402744,1.56,0.07,0.28772038845425,101.5577222
2018,0.134931841,1.38,0.07,0.28605283557314,102.10452852
2019,0.13106253,1.33,0.07,0.28361901229607,102.90428294
2020,0.160347074,1.15,0.08,0.27654215448563,102.5
2021,0.11504802,1.03,0.08,0.2759538390206,100.9
2022,0.126247377,0.94,0.08,0.2688575510659,102.0
