year,人均可支配收入增长率,老头,卫生总费用增长率,人均GDP增长率,医保
2013,0.109106877858203,0.0969969135351,0.110384555,0.093666376,0.0662827134239
2014,0.101377329226467,0.10099821280677,0.064703706,0.078514286,0.06859560763737
2015,0.0892096533462918,0.10499833726125,0.096194962,0.064176034,0.06878997434402
2016,0.0844388196410849,0.10799959779361,0.11365465,0.077333548,0.07378239568207
2017,0.0903740397128584,0.11399818585683,0.12402744,0.108012829,0.078453272299
2018,0.086787455050859,0.11899730327805,0.134931841,0.099702419,0.08480193489968
2019,0.0887345897690236,0.12599994326563,0.13106253,0.069337549,0.08825232524528
2020,0.0473760932944606,0.1349993484973,0.160347074,0.0249788,0.0847777284648
2021,0.0913143702157272,0.14197932889707,0.11504802,0.132842441,0.1156132656325
2022,0.0499656969776334,0.14859571453869,0.126247377,0.053190776,0.0923029293402
