year,人均可支配收入增长率,老头,人口自然增长率加一,变异系数,个人卫生支出占比,医保
2013,0.109106877858203,0.0969969135351,1.59,0.443839363433743,0.33879697515042,0.0662827134239
2014,0.101377329226467,0.10099821280677,1.67,0.437507081131138,0.31987089941901,0.06859560763737
2015,0.0892096533462918,0.10499833726125,1.49,0.44587930838091,0.29268466443334,0.06878997434402
2016,0.0844388196410849,0.10799959779361,1.65,0.45621401121724,0.2877965382486,0.07378239568207
2017,0.0903740397128584,0.11399818585683,1.56,0.454272156430865,0.28772038845425,0.078453272299
2018,0.086787455050859,0.11899730327805,1.38,0.45365644533455,0.28605283557314,0.08480193489968
2019,0.0887345897690236,0.12599994326563,1.33,0.448624803176914,0.28361901229607,0.08825232524528
2020,0.0473760932944606,0.1349993484973,1.15,0.441893337175489,0.27654215448563,0.0847777284648
2021,0.0913143702157272,0.14197932889707,1.03,0.441133976752797,0.2759538390206,0.1156132656325
2022,0.0499656969776334,0.14859571453869,0.94,0.424161674244903,0.2688575510659,0.0923029293402
