year,人均可支配收入增长率,老头,卫生总费用增长率,人口自然增长率加一
2013,0.109106877858203,0.0969969135351,0.110384555,1.59
2014,0.101377329226467,0.10099821280677,0.064703706,1.67
2015,0.0892096533462918,0.10499833726125,0.096194962,1.49
2016,0.0844388196410849,0.10799959779361,0.11365465,1.65
2017,0.0903740397128584,0.11399818585683,0.12402744,1.56
2018,0.086787455050859,0.11899730327805,0.134931841,1.38
2019,0.0887345897690236,0.12599994326563,0.13106253,1.33
2020,0.0473760932944606,0.1349993484973,0.160347074,1.15
2021,0.0913143702157272,0.14197932889707,0.11504802,1.03
2022,0.0499656969776334,0.14859571453869,0.126247377,0.94
