year,人均可支配收入增长率,卫生总费用增长率,人口自然增长率加一,变异系数
2013,0.109106877858203,0.110384555,1.59,0.443839363433743
2014,0.101377329226467,0.064703706,1.67,0.437507081131138
2015,0.0892096533462918,0.096194962,1.49,0.44587930838091
2016,0.0844388196410849,0.11365465,1.65,0.45621401121724
2017,0.0903740397128584,0.12402744,1.56,0.454272156430865
2018,0.086787455050859,0.134931841,1.38,0.45365644533455
2019,0.0887345897690236,0.13106253,1.33,0.448624803176914
2020,0.0473760932944606,0.160347074,1.15,0.441893337175489
2021,0.0913143702157272,0.11504802,1.03,0.441133976752797
2022,0.0499656969776334,0.126247377,0.94,0.424161674244903
