year,老头,卫生总费用增长率,人口自然增长率加一,变异系数
2013,0.0969969135351,0.110384555,1.59,0.443839363433743
2014,0.10099821280677,0.064703706,1.67,0.437507081131138
2015,0.10499833726125,0.096194962,1.49,0.44587930838091
2016,0.10799959779361,0.11365465,1.65,0.45621401121724
2017,0.11399818585683,0.12402744,1.56,0.454272156430865
2018,0.11899730327805,0.134931841,1.38,0.45365644533455
2019,0.12599994326563,0.13106253,1.33,0.448624803176914
2020,0.1349993484973,0.160347074,1.15,0.441893337175489
2021,0.14197932889707,0.11504802,1.03,0.441133976752797
2022,0.14859571453869,0.126247377,0.94,0.424161674244903
