year,人口自然增长率加一,政府卫生支出占比,个人卫生支出占比,CPI,医保
2013,1.59,0.06,0.33879697515042,102.62401527,0.0662827134239
2014,1.67,0.07,0.31987089941901,101.98842742,0.06859560763737
2015,1.49,0.07,0.29268466443334,101.44082395,0.06878997434402
2016,1.65,0.07,0.2877965382486,102.00284829,0.07378239568207
2017,1.56,0.07,0.28772038845425,101.5577222,0.078453272299
2018,1.38,0.07,0.28605283557314,102.10452852,0.08480193489968
2019,1.33,0.07,0.28361901229607,102.90428294,0.08825232524528
2020,1.15,0.08,0.27654215448563,102.5,0.0847777284648
2021,1.03,0.08,0.2759538390206,100.9,0.1156132656325
2022,0.94,0.08,0.2688575510659,102.0,0.0923029293402
