year,老头,人均GDP增长率,政府卫生支出占比,变异系数
2013,0.0969969135351,0.093666376,0.06,0.443839363433743
2014,0.10099821280677,0.078514286,0.07,0.437507081131138
2015,0.10499833726125,0.064176034,0.07,0.44587930838091
2016,0.10799959779361,0.077333548,0.07,0.45621401121724
2017,0.11399818585683,0.108012829,0.07,0.454272156430865
2018,0.11899730327805,0.099702419,0.07,0.45365644533455
2019,0.12599994326563,0.069337549,0.07,0.448624803176914
2020,0.1349993484973,0.0249788,0.08,0.441893337175489
2021,0.14197932889707,0.132842441,0.08,0.441133976752797
2022,0.14859571453869,0.053190776,0.08,0.424161674244903
