year,老头,人口自然增长率加一,政府卫生支出占比,变异系数,个人卫生支出占比
2013,0.0969969135351,1.59,0.06,0.443839363433743,0.33879697515042
2014,0.10099821280677,1.67,0.07,0.437507081131138,0.31987089941901
2015,0.10499833726125,1.49,0.07,0.44587930838091,0.29268466443334
2016,0.10799959779361,1.65,0.07,0.45621401121724,0.2877965382486
2017,0.11399818585683,1.56,0.07,0.454272156430865,0.28772038845425
2018,0.11899730327805,1.38,0.07,0.45365644533455,0.28605283557314
2019,0.12599994326563,1.33,0.07,0.448624803176914,0.28361901229607
2020,0.1349993484973,1.15,0.08,0.441893337175489,0.27654215448563
2021,0.14197932889707,1.03,0.08,0.441133976752797,0.2759538390206
2022,0.14859571453869,0.94,0.08,0.424161674244903,0.2688575510659
