year,老头,卫生总费用增长率,个人卫生支出占比,CPI
2013,0.0969969135351,0.110384555,0.33879697515042,102.62401527
2014,0.10099821280677,0.064703706,0.31987089941901,101.98842742
2015,0.10499833726125,0.096194962,0.29268466443334,101.44082395
2016,0.10799959779361,0.11365465,0.2877965382486,102.00284829
2017,0.11399818585683,0.12402744,0.28772038845425,101.5577222
2018,0.11899730327805,0.134931841,0.28605283557314,102.10452852
2019,0.12599994326563,0.13106253,0.28361901229607,102.90428294
2020,0.1349993484973,0.160347074,0.27654215448563,102.5
2021,0.14197932889707,0.11504802,0.2759538390206,100.9
2022,0.14859571453869,0.126247377,0.2688575510659,102.0
