year,人均可支配收入增长率,政府卫生支出占比,个人卫生支出占比,CPI
2013,0.109106877858203,0.06,0.33879697515042,102.62401527
2014,0.101377329226467,0.07,0.31987089941901,101.98842742
2015,0.0892096533462918,0.07,0.29268466443334,101.44082395
2016,0.0844388196410849,0.07,0.2877965382486,102.00284829
2017,0.0903740397128584,0.07,0.28772038845425,101.5577222
2018,0.086787455050859,0.07,0.28605283557314,102.10452852
2019,0.0887345897690236,0.07,0.28361901229607,102.90428294
2020,0.0473760932944606,0.08,0.27654215448563,102.5
2021,0.0913143702157272,0.08,0.2759538390206,100.9
2022,0.0499656969776334,0.08,0.2688575510659,102.0
