year,老头,人均GDP增长率,人口自然增长率加一,政府卫生支出占比,医保
2013,0.0969969135351,0.093666376,1.59,0.06,0.0662827134239
2014,0.10099821280677,0.078514286,1.67,0.07,0.06859560763737
2015,0.10499833726125,0.064176034,1.49,0.07,0.06878997434402
2016,0.10799959779361,0.077333548,1.65,0.07,0.07378239568207
2017,0.11399818585683,0.108012829,1.56,0.07,0.078453272299
2018,0.11899730327805,0.099702419,1.38,0.07,0.08480193489968
2019,0.12599994326563,0.069337549,1.33,0.07,0.08825232524528
2020,0.1349993484973,0.0249788,1.15,0.08,0.0847777284648
2021,0.14197932889707,0.132842441,1.03,0.08,0.1156132656325
2022,0.14859571453869,0.053190776,0.94,0.08,0.0923029293402
