year,卫生总费用增长率,人均GDP增长率,政府卫生支出占比,医保
2013,0.110384555,0.093666376,0.06,0.0662827134239
2014,0.064703706,0.078514286,0.07,0.06859560763737
2015,0.096194962,0.064176034,0.07,0.06878997434402
2016,0.11365465,0.077333548,0.07,0.07378239568207
2017,0.12402744,0.108012829,0.07,0.078453272299
2018,0.134931841,0.099702419,0.07,0.08480193489968
2019,0.13106253,0.069337549,0.07,0.08825232524528
2020,0.160347074,0.0249788,0.08,0.0847777284648
2021,0.11504802,0.132842441,0.08,0.1156132656325
2022,0.126247377,0.053190776,0.08,0.0923029293402
