人工智能综合指数,医疗行业综合指数,卫生总费用增长率,人均GDP增长率,人均专利保有量（件/人）,政府卫生支出占比,人口自然增长率
0,0,0.110384555,0.093666376,4.289549903,0.06,0.59
0.089576297,0.145708313,0.064703706,0.078514286,5.148642169,0.07,0.67
0.243614098,0.244212614,0.096194962,0.064176034,6.663656869,0.07,0.49
0.327341623,0.362278159,0.11365465,0.077333548,8.318511549,0.07,0.65
0.500040435,0.491568314,0.12402744,0.108012829,10.09857083,0.07,0.56
0.618242324,0.619388267,0.134931841,0.099702419,11.8276446,0.07,0.38
0.737379815,0.753008732,0.13106253,0.069337549,13.6596647,0.07,0.33
0.741834072,0.711825301,0.160347074,0.0249788,16.13972609,0.08,0.15
0.74835456,0.87581217,0.11504802,0.132842441,19.63250035,0.08,0.03
0.730815478,0.935044248,0.126247377,0.053190776,23.73970604,0.08,-0.06
